    n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
    0,             0,               0,              0,          0,            0,           0
    1,             0,               0,              0,          0,            0,           0
    2,             1,               1,              0,          1,            1,           0
    3,             3,               3,              0,          3,            3,           0
    4,             4,               3,              0,          6,            3,           0
    5,             5,               3,              0,         10,            3,           0
    6,             7,               4,              0,         15,            4,           0
    7,            10,               6,              0,         21,            6,           0
    8,            11,               6,              0,         28,            6,           0
    9,            12,               6,              0,         36,            6,           0
   10,            13,               6,              0,         45,            6,           0
   11,            15,               7,              0,         55,            7,           0
   12,            16,               7,              0,         66,            7,           0
   13,            18,               8,              0,         78,            8,           0
   14,            19,               8,              0,         91,            8,           0
   15,            20,               8,              0,        105,            8,           0
   16,            22,               9,              0,        120,            9,           0
   17,            25,              11,              0,        136,           11,           6
   18,            26,              11,              0,        153,           11,           0
   19,            27,              11,              0,        171,           11,           0
   20,            29,              12,              0,        190,           12,           0
   21,            30,              12,              0,        210,           12,           0
   22,            31,              12,              0,        231,           12,           0
   23,            33,              13,              0,        253,           13,           0
   24,            34,              13,              0,        276,           13,           0
   25,            35,              13,              0,        300,           13,           0
   26,            36,              13,              0,        325,           13,           0
   27,            37,              13,              0,        351,           13,           0
   28,            41,              16,              0,        378,           16,           0
   29,            43,              17,              0,        406,           17,           0
   30,            44,              17,              0,        435,           17,           0
   31,            45,              17,              0,        465,           17,           0
   32,            46,              17,              0,        496,           17,           0
   33,            49,              19,              0,        528,           19,           0
   34,            51,              20,              0,        561,           20,           0
   35,            55,              23,              0,        595,           23,           0
   36,            56,              23,              0,        630,           23,           0
   37,            57,              23,              0,        666,           23,           0
   38,            59,              24,              0,        703,           24,           0
   39,            60,              24,              0,        741,           24,           0
   40,            61,              24,              0,        780,           24,           0
   41,            62,              24,              0,        820,           24,           0
   42,            64,              25,              0,        861,           25,           0
   43,            67,              27,              0,        903,           27,           0
   44,            69,              28,              0,        946,           28,           0
   45,            70,              28,              0,        990,           28,           0
   46,            71,              28,              0,       1035,           28,           0
   47,            73,              29,              0,       1081,           29,           0
   48,            76,              31,              0,       1128,           31,           0
   49,            77,              31,              0,       1176,           31,           9
   50,            78,              31,              0,       1225,           31,           0
   51,            80,              32,              0,       1275,           32,           0
   52,            82,              33,              0,       1326,           33,           0
   53,            83,              33,              0,       1378,           33,           0
   54,            84,              33,              0,       1431,           33,           0
   55,            85,              33,              0,       1485,           33,           0
   56,            86,              33,              0,       1540,           33,           0
   57,            87,              33,              0,       1596,           33,           0
   58,            88,              33,              0,       1653,           33,           0
   59,            89,              33,              0,       1711,           33,           0
   60,            90,              33,              0,       1770,           33,           0
   61,            91,              33,              0,       1830,           33,           0
   62,            92,              33,              0,       1891,           33,           0
   63,            93,              33,              0,       1953,           33,           0
   64,            95,              34,              0,       2016,           34,           0
   65,            96,              34,              0,       2080,           34,           0
   66,            97,              34,              0,       2145,           34,           0
   67,            98,              34,              0,       2211,           34,           0
   68,            99,              34,              0,       2278,           34,           0
   69,           100,              34,              0,       2346,           34,           0
   70,           101,              34,              0,       2415,           34,          15
   71,           102,              34,              0,       2485,           34,           0
   72,           103,              34,              0,       2556,           34,           0
   73,           104,              34,              0,       2628,           34,           0
   74,           105,              34,              0,       2701,           34,           0
   75,           106,              34,              0,       2775,           34,           0
   76,           107,              34,              0,       2850,           34,           0
   77,           108,              34,              0,       2926,           34,           0
   78,           109,              34,              0,       3003,           34,           0
   79,           111,              35,              0,       3081,           35,           0
   80,           112,              35,              0,       3160,           35,           0
   81,           113,              35,              0,       3240,           35,           0
   82,           114,              35,              0,       3321,           35,           0
   83,           115,              35,              0,       3403,           35,          15
   84,           117,              36,              0,       3486,           36,           0
   85,           118,              36,              0,       3570,           36,           0
   86,           121,              38,              0,       3655,           38,           0
   87,           122,              38,              0,       3741,           38,           0
   88,           123,              38,              0,       3828,           38,           0
   89,           124,              38,              0,       3916,           38,           0
   90,           125,              38,              0,       4005,           38,           0
   91,           126,              38,              0,       4095,           38,           0
   92,           127,              38,              0,       4186,           38,           0
   93,           128,              38,              0,       4278,           38,          15
   94,           129,              38,              0,       4371,           38,           2
   95,           130,              38,              0,       4465,           38,           0
   96,           131,              38,              0,       4560,           38,           0
   97,           132,              38,              0,       4656,           38,           0
   98,           133,              38,              0,       4753,           38,           0
   99,           134,              38,              0,       4851,           38,           0
  100,           135,              38,              0,       4950,           38,           0
  101,           137,              39,              0,       5050,           39,           0
  102,           138,              39,              0,       5151,           39,           0
  103,           139,              39,              0,       5253,           39,          15
  104,           140,              39,              0,       5356,           39,           1
  105,           141,              39,              0,       5460,           39,           0
  106,           142,              39,              0,       5565,           39,           0
  107,           144,              40,              0,       5671,           40,           0
  108,           147,              42,              0,       5778,           42,           0
  109,           148,              42,              0,       5886,           42,           0
  110,           149,              42,              0,       5995,           42,           0
  111,           150,              42,              0,       6105,           42,          14
  112,           153,              44,              0,       6216,           44,           0
  113,           154,              44,              0,       6328,           44,           0
  114,           155,              44,              0,       6441,           44,           0
  115,           157,              45,              0,       6555,           45,           0
  116,           159,              46,              0,       6670,           46,           0
  117,           161,              47,              0,       6786,           47,          13
  118,           162,              47,              0,       6903,           47,           0
  119,           163,              47,              0,       7021,           47,           0
  120,           164,              47,              0,       7140,           47,           0
  121,           165,              47,              0,       7260,           47,           0
  122,           166,              47,              0,       7381,           47,           0
  123,           167,              47,              0,       7503,           47,          15
  124,           169,              48,              0,       7626,           48,           0
  125,           170,              48,              0,       7750,           48,           0
  126,           171,              48,              0,       7875,           48,           0
  127,           172,              48,              0,       8001,           48,           0
  128,           174,              49,              0,       8128,           49,           0
  129,           175,              49,              0,       8256,           49,          15
  130,           178,              51,              0,       8385,           51,           0
  131,           179,              51,              0,       8515,           51,           0
