   n, heap_cmp, heap_swaps, heap_time, merge_cmp, merge_swaps, merge_time
   0,        0,          0,         0,         0,           0,          0
   1,        0,          0,         0,         0,           0,          0
   2,        1,          2,         0,         1,           0,          0
   3,        3,          4,         0,         3,           0,          0
   4,        7,          8,         0,         5,           0,          0
   5,       12,         10,         0,         6,           0,          0
   6,       16,         12,         0,         8,           0,          0
   7,       21,         15,         0,        10,           0,          0
   8,       27,         21,         0,        13,           0,          0
   9,       35,         25,         0,        14,           0,          0
  10,       41,         29,         0,        16,           0,          0
  11,       49,         33,         0,        18,           0,          0
  12,       55,         38,         0,        21,           0,          0
  13,       63,         42,         0,        24,           0,          0
  14,       69,         47,         0,        26,           0,          0
  15,       76,         51,         0,        30,           0,          0
  16,       83,         57,         0,        33,           0,          0
  17,       94,         62,         0,        34,           0,          0
  18,      102,         68,         0,        38,           0,          0
  19,      112,         74,         0,        40,           0,          0
  20,      120,         81,         0,        41,           0,          0
  21,      130,         86,         0,        45,           0,          0
  22,      138,         90,         0,        50,           0,          0
  23,      148,         96,         0,        51,           0,          0
  24,      156,        101,         0,        55,           0,          0
  25,      166,        107,         0,        57,           0,          0
  26,      174,        112,         0,        62,           0,          0
  27,      184,        117,         0,        65,           0,          0
  28,      192,        123,         0,        67,           0,          0
  29,      202,        129,         0,        73,           0,          0
  30,      210,        136,         0,        77,           0,          0
  31,      220,        141,         0,        81,           0,          0
  32,      230,        147,         0,        85,           0,          0
  33,      243,        153,         0,        86,           0,          0
  34,      254,        163,         0,        89,           0,          0
  35,      266,        166,         0,        90,           0,          0
  36,      278,        176,        15,        95,           0,          0
  37,      290,        180,         0,        98,           0,          0
  38,      298,        186,         0,       101,           0,          0
  39,      311,        194,         0,       105,           0,          0
  40,      321,        197,         0,       107,           0,          0
  41,      333,        205,         0,       110,           0,          0
  42,      342,        213,         0,       112,           0,          0
  43,      354,        221,         0,       116,           0,          0
  44,      364,        227,         0,       121,           0,          0
  45,      376,        233,         0,       125,           0,          0
  46,      389,        241,         0,       125,           0,          0
  47,      399,        246,         0,       131,           0,          0
  48,      410,        254,         0,       137,           0,          0
  49,      424,        259,         0,       139,           0,          0
  50,      434,        269,         0,       142,           0,         15
  51,      446,        272,         1,       145,           0,          0
  52,      459,        279,         0,       152,           0,          2
  53,      470,        286,         0,       156,           0,          0
  54,      480,        292,         0,       160,           0,          0
  55,      490,        299,         0,       165,           0,          0
  56,      503,        307,         0,       163,           0,          0
  57,      517,        311,         0,       165,           0,          0
  58,      524,        319,         0,       179,           0,          0
  59,      535,        326,         0,       180,           0,         11
  60,      547,        333,         0,       184,           0,          0
  61,      560,        338,         0,       187,           0,          0
  62,      570,        345,         0,       194,           0,          0
  63,      582,        351,         0,       198,           0,          0
  64,      592,        354,         0,       202,           0,          0
  65,      606,        362,         0,       204,           0,          0
  66,      621,        376,         0,       205,           0,          0
  67,      635,        382,         0,       209,           0,          0
  68,      649,        391,         0,       214,           0,         15
  69,      664,        397,         0,       216,           0,          0
  70,      676,        406,         0,       219,           0,          0
  71,      690,        412,         0,       220,           0,          0
  72,      703,        422,         0,       230,           0,          0
  73,      717,        426,         0,       230,           0,          0
  74,      732,        436,         0,       237,           0,          0
  75,      743,        444,         0,       240,           0,          0
  76,      758,        452,         0,       239,           0,          0
  77,      771,        458,        15,       245,           0,          0
  78,      784,        467,         0,       250,           0,          2
  79,      800,        475,         0,       254,           0,          0
  80,      814,        483,         0,       262,           0,          0
  81,      826,        487,         0,       262,           0,          0
  82,      838,        493,         0,       263,           0,          0
  83,      856,        506,         8,       271,           0,          0
  84,      867,        510,         0,       270,           0,          0
  85,      881,        516,         5,       274,           0,          0
  86,      894,        525,         0,       280,           0,          0
  87,      908,        533,         0,       285,           0,          0
  88,      920,        541,         0,       291,           0,          0
  89,      932,        545,         0,       294,           0,          0
  90,      947,        557,         0,       302,           0,          0
  91,      963,        564,         0,       304,           0,          0
  92,      975,        574,         0,       307,           0,          0
  93,      990,        579,        15,       310,           0,          0
  94,     1003,        589,         0,       314,           0,          0
  95,     1019,        599,         0,       320,           0,          0
  96,     1029,        600,         0,       326,           0,          0
  97,     1039,        608,         0,       329,           0,          0
  98,     1053,        615,         0,       333,           0,          0
  99,     1073,        630,         0,       340,           0,          0
 100,     1084,        635,         0,       343,           0,          0
 101,     1101,        639,         0,       346,           0,          0
 102,     1116,        653,         0,       349,           0,          0
 103,     1127,        658,         0,       354,           0,          0
 104,     1141,        671,         0,       357,           0,          0
 105,     1155,        674,         0,       359,           0,          0
 106,     1166,        685,         0,       364,           0,          0
 107,     1182,        692,         0,       366,           0,          0
 108,     1194,        700,        13,       380,           0,          0
 109,     1208,        707,         0,       381,           0,          0
 110,     1220,        715,         2,       388,           0,          0
 111,     1234,        723,         0,       391,           0,          0
 112,     1247,        732,         0,       389,           0,          0
 113,     1263,        735,         0,       391,           0,          0
 114,     1275,        743,         0,       397,           0,          0
 115,     1288,        754,         0,       400,           0,          0
 116,     1303,        758,         0,       421,           0,          0
 117,     1316,        768,         0,       420,           0,          0
 118,     1328,        774,         0,       422,           0,          0
 119,     1342,        786,         0,       425,           0,          0
 120,     1354,        789,         0,       437,           0,          0
 121,     1369,        800,        15,       438,           0,          0
 122,     1384,        805,         0,       442,           0,          0
 123,     1396,        811,         0,       447,           0,          0
 124,     1406,        820,         0,       455,           0,          0
 125,     1420,        828,         0,       457,           0,          0
 126,     1432,        835,         0,       464,           0,          0
 127,     1450,        841,         0,       470,           0,          0
 128,     1459,        850,         0,       477,           0,          0
 129,     1474,        858,         0,       479,           0,          0
 130,     1490,        871,         0,       478,           0,          0
 131,     1511,        877,         0,       483,           0,          0
 132,     1526,        885,         0,       485,           0,          0
 133,     1539,        896,        15,       489,           0,          0
 134,     1553,        905,         0,       494,           0,          0
