   n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
   0,             0,               0,              0,          0,            0,           0
   1,             0,               0,              0,          0,            0,           0
   2,             1,               0,              0,          1,            0,           0
   3,             3,               2,              0,          3,            2,           0
   4,             4,               2,              0,          6,            2,           0
   5,             5,               2,              0,         10,            2,           0
   6,             6,               2,              0,         15,            2,           0
   7,             7,               2,              0,         21,            2,           0
   8,             8,               2,              0,         28,            2,           0
   9,             9,               2,              0,         36,            2,           0
  10,            10,               2,              0,         45,            2,           0
  11,            11,               2,              0,         55,            2,           0
  12,            13,               3,              0,         66,            3,           0
  13,            14,               3,              0,         78,            3,           0
  14,            15,               3,              0,         91,            3,           0
  15,            16,               3,              0,        105,            3,           0
  16,            17,               3,              0,        120,            3,           0
  17,            19,               4,              0,        136,            4,           0
  18,            20,               4,              0,        153,            4,           0
  19,            21,               4,              0,        171,            4,           0
  20,            23,               5,              0,        190,            5,           0
  21,            25,               6,              0,        210,            6,           0
  22,            26,               6,              0,        231,            6,           0
  23,            27,               6,              0,        253,            6,           0
  24,            28,               6,              0,        276,            6,           0
  25,            29,               6,              0,        300,            6,           0
  26,            31,               7,              0,        325,            7,           0
  27,            33,               8,              0,        351,            8,           0
  28,            36,              10,              0,        378,           10,           0
  29,            37,              10,              0,        406,           10,           0
  30,            38,              10,              0,        435,           10,           0
  31,            40,              11,              0,        465,           11,           0
  32,            41,              11,              0,        496,           11,           0
  33,            42,              11,              0,        528,           11,           0
  34,            43,              11,              0,        561,           11,           0
  35,            45,              12,              0,        595,           12,           0
  36,            46,              12,              0,        630,           12,           0
  37,            47,              12,              0,        666,           12,           0
  38,            48,              12,              0,        703,           12,           0
  39,            49,              12,              0,        741,           12,           0
  40,            51,              13,              0,        780,           13,           0
  41,            52,              13,              0,        820,           13,           0
  42,            53,              13,              0,        861,           13,           0
  43,            54,              13,              0,        903,           13,           0
  44,            55,              13,              0,        946,           13,           0
  45,            56,              13,              0,        990,           13,           0
  46,            57,              13,              0,       1035,           13,           0
  47,            59,              14,              0,       1081,           14,           0
  48,            61,              15,              0,       1128,           15,           0
  49,            62,              15,              0,       1176,           15,           0
  50,            63,              15,              0,       1225,           15,           0
  51,            65,              16,              0,       1275,           16,           0
  52,            67,              17,              0,       1326,           17,           0
  53,            70,              19,              0,       1378,           19,          15
  54,            73,              21,              0,       1431,           21,           1
  55,            74,              21,              0,       1485,           21,           0
  56,            75,              21,              0,       1540,           21,           0
  57,            76,              21,              0,       1596,           21,           0
  58,            77,              21,              0,       1653,           21,           0
  59,            78,              21,              0,       1711,           21,           0
  60,            79,              21,              0,       1770,           21,           0
  61,            80,              21,              0,       1830,           21,           0
  62,            81,              21,              0,       1891,           21,           0
  63,            82,              21,              0,       1953,           21,           0
  64,            84,              22,              0,       2016,           22,           0
  65,            85,              22,              0,       2080,           22,           0
  66,            86,              22,              0,       2145,           22,           0
  67,            87,              22,              0,       2211,           22,           0
  68,            89,              23,              0,       2278,           23,           0
  69,            92,              25,              0,       2346,           25,           0
  70,            96,              28,              0,       2415,           28,           0
  71,           100,              31,              0,       2485,           31,           0
  72,           101,              31,              0,       2556,           31,          14
  73,           102,              31,              0,       2628,           31,           1
  74,           103,              31,              0,       2701,           31,           0
  75,           104,              31,              0,       2775,           31,           0
  76,           105,              31,              0,       2850,           31,           0
  77,           106,              31,              0,       2926,           31,           0
  78,           108,              32,              0,       3003,           32,           0
  79,           111,              34,              0,       3081,           34,           0
  80,           112,              34,              0,       3160,           34,           0
  81,           113,              34,              0,       3240,           34,           0
  82,           114,              34,              0,       3321,           34,           0
  83,           116,              35,              0,       3403,           35,           0
  84,           117,              35,              0,       3486,           35,           0
  85,           120,              37,              0,       3570,           37,          14
  86,           124,              40,              0,       3655,           40,           0
  87,           125,              40,              0,       3741,           40,           0
  88,           126,              40,              0,       3828,           40,           0
  89,           127,              40,              0,       3916,           40,           0
  90,           128,              40,              0,       4005,           40,           0
  91,           130,              41,              0,       4095,           41,           0
  92,           131,              41,              0,       4186,           41,           0
  93,           132,              41,              0,       4278,           41,           0
  94,           133,              41,              0,       4371,           41,           0
  95,           134,              41,              0,       4465,           41,           0
  96,           135,              41,              0,       4560,           41,          15
  97,           139,              44,              0,       4656,           44,           1
  98,           144,              48,              0,       4753,           48,           0
  99,           145,              48,              0,       4851,           48,           0
 100,           146,              48,              0,       4950,           48,           0
 101,           147,              48,              0,       5050,           48,           0
 102,           148,              48,              0,       5151,           48,           0
 103,           149,              48,              0,       5253,           48,           0
 104,           150,              48,              0,       5356,           48,           0
 105,           151,              48,              0,       5460,           48,          14
 106,           152,              48,              0,       5565,           48,           1
 107,           154,              49,              0,       5671,           49,           0
 108,           156,              50,              0,       5778,           50,           0
 109,           160,              53,              0,       5886,           53,           0
 110,           163,              55,              0,       5995,           55,          11
 111,           164,              55,              0,       6105,           55,           2
 112,           165,              55,              0,       6216,           55,           3
 113,           167,              56,              0,       6328,           56,           0
 114,           169,              57,              0,       6441,           57,           0
 115,           173,              60,              0,       6555,           60,           0
 116,           174,              60,              0,       6670,           60,           0
 117,           175,              60,              0,       6786,           60,           0
 118,           176,              60,              0,       6903,           60,          14
 119,           179,              62,              0,       7021,           62,           0
 120,           180,              62,              0,       7140,           62,           0
 121,           181,              62,              0,       7260,           62,           0
 122,           182,              62,              0,       7381,           62,           0
 123,           183,              62,              0,       7503,           62,           0
 124,           184,              62,              0,       7626,           62,          16
 125,           185,              62,              0,       7750,           62,           0
 126,           186,              62,              0,       7875,           62,           0
 127,           187,              62,              0,       8001,           62,           0
 128,           188,              62,              0,       8128,           62,           0
 129,           191,              64,              0,       8256,           64,           0
 130,           192,              64,              0,       8385,           64,          15
 131,           193,              64,              0,       8515,           64,           0
