      n, heap_cmp, heap_swaps, heap_time, merge_cmp, merge_swaps, merge_time
      0,        0,          0,         0,         0,           0,          0
      1,        0,          0,         0,         0,           0,          0
      2,        1,          1,         0,         1,           0,          0
      3,        3,          2,         0,         3,           0,          0
      4,        6,          6,         0,         5,           0,          0
      5,        9,          8,         0,         8,           0,          0
      6,       12,         10,         0,        10,           0,          0
      7,       17,         14,         0,        13,           0,          0
      8,       25,         20,         0,        17,           0,          0
      9,       33,         22,         0,        21,           0,          0
     10,       39,         25,         0,        25,           0,          0
     11,       44,         30,         0,        28,           0,          0
     12,       49,         33,         0,        32,           0,          0
     13,       54,         35,         0,        36,           0,          0
     14,       61,         39,         0,        39,           0,          0
     15,       71,         44,         0,        44,           0,          0
     16,       81,         50,         0,        44,           0,          0
     17,       91,         57,         0,        49,           0,          0
     18,       98,         60,         0,        57,           0,          0
     19,      105,         66,         0,        59,           0,          0
     20,      111,         69,         0,        66,           0,          0
     21,      119,         73,         0,        70,           0,          0
     22,      127,         79,         0,        74,           0,          0
     23,      136,         81,         0,        77,           0,          0
     24,      140,         85,         0,        85,           0,          0
     25,      151,         91,         0,        91,           0,          0
     26,      159,         97,         0,        94,           0,          0
     27,      172,        102,         0,       100,           0,          0
     28,      189,        112,         0,       103,           0,          0
     29,      190,        110,         0,       109,           0,          0
     30,      199,        116,         0,       113,           0,          0
     31,      211,        126,         0,       118,           0,          0
     32,      218,        130,         0,       119,           0,          0
     33,      231,        136,         0,       123,           0,          0
     34,      246,        142,         0,       129,           0,          0
     35,      252,        144,         0,       133,           0,          0
     36,      262,        150,         0,       145,           0,          0
     37,      272,        159,         0,       150,           0,          0
     38,      284,        163,         0,       150,           0,          0
     39,      293,        172,         0,       155,           0,          0
     40,      302,        174,         0,       166,           0,          0
     41,      314,        180,        14,       172,           0,          0
     42,      326,        191,         0,       173,           0,          0
     43,      336,        194,         0,       179,           0,          0
     44,      344,        202,         0,       185,           0,          0
     45,      357,        209,         0,       188,           0,          0
     46,      366,        212,         0,       197,           0,          0
     47,      378,        217,         0,       200,           0,          0
     48,      392,        227,         0,       204,           0,          0
     49,      401,        229,         0,       209,           0,          0
     50,      409,        240,         0,       222,           0,          0
     51,      420,        249,         0,       231,           0,          0
     52,      435,        257,         0,       227,           0,          0
     53,      447,        264,         0,       234,           0,          0
     54,      455,        266,         0,       244,           0,          0
     55,      464,        270,         0,       247,           0,          0
     56,      479,        281,         0,       255,           0,          0
     57,      487,        283,         0,       261,           0,          0
     58,      500,        292,         0,       266,           0,          0
     59,      515,        296,         0,       272,           0,          0
     60,      517,        295,         0,       276,           0,          0
     61,      532,        307,         0,       286,           0,          0
     62,      540,        315,         0,       290,           0,          0
     63,      552,        318,         0,       296,           0,          0
     64,      557,        320,         0,       294,           0,          0
     65,      568,        325,         0,       300,           0,          0
     66,      579,        328,         0,       312,           0,          0
     67,      595,        344,         0,       312,           0,          0
     68,      611,        348,         0,       321,           0,          0
     69,      617,        347,         0,       325,           0,          0
     70,      628,        353,         0,       335,           0,          0
     71,      641,        364,         0,       339,           0,          0
     72,      654,        368,         0,       357,           0,          0
     73,      666,        383,         0,       361,           0,          0
     74,      675,        380,         0,       369,           0,          0
     75,      692,        392,         0,       369,           0,          0
     76,      703,        406,         0,       376,           0,          0
     77,      719,        407,         0,       382,           0,          0
     78,      733,        415,         0,       389,           0,          0
     79,      748,        425,         0,       397,           0,          0
     80,      757,        432,         0,       398,           0,          0
     81,      771,        438,         0,       410,           0,          0
     82,      787,        450,         0,       416,           0,          0
     83,      796,        449,         0,       425,           0,         15
     84,      813,        466,         0,       431,           0,          0
     85,      814,        459,         0,       440,           0,          0
     86,      837,        472,         0,       447,           0,          0
     87,      845,        481,         0,       449,           0,          0
     88,      870,        492,         0,       463,           0,          0
     89,      875,        495,         0,       466,           0,          0
     90,      886,        501,         0,       463,           0,          0
     91,      903,        509,         0,       470,           0,          0
     92,      920,        520,         0,       480,           0,          0
     93,      925,        520,         0,       491,           0,          0
     94,      945,        531,         0,       499,           0,          0
     95,      960,        545,         0,       494,           0,          0
     96,      970,        548,         0,       508,           0,          0
     97,      973,        550,         0,       516,           0,          0
     98,      996,        563,         0,       524,           0,          0
     99,     1005,        563,        15,       527,           0,          0
    100,     1022,        575,         0,       539,           0,          2
    101,     1028,        577,         0,       550,           0,          0
    102,     1043,        584,         0,       564,           0,          0
    103,     1054,        594,         0,       560,           0,          0
    104,     1077,        604,         0,       565,           0,          0
    105,     1090,        616,         0,       572,           0,          0
    106,     1106,        623,         0,       577,           0,          0
    107,     1120,        634,         0,       582,           0,          0
    108,     1122,        633,         0,       600,           0,          0
    109,     1140,        647,         0,       610,           0,          0
    110,     1147,        644,         0,       612,           0,          0
    111,     1157,        649,         0,       608,           0,          0
    112,     1180,        662,        13,       619,           0,          0
    113,     1190,        662,         0,       623,           0,          0
    114,     1200,        674,         2,       634,           0,          0
    115,     1216,        683,         0,       639,           0,          0
    116,     1225,        687,         0,       648,           0,          0
    117,     1240,        700,         0,       659,           0,          0
    118,     1256,        709,         0,       667,           0,          0
    119,     1273,        721,         0,       673,           0,          0
    120,     1283,        726,         0,       682,           0,          0
    121,     1297,        734,         0,       688,           0,          0
    122,     1325,        740,         0,       696,           0,          0
    123,     1335,        755,         0,       703,           0,          0
    124,     1349,        760,         0,       706,           0,         13
    125,     1364,        764,         0,       714,           0,          0
    126,     1376,        777,         0,       721,           0,          0
    127,     1385,        773,         3,       725,           0,          0
    128,     1395,        784,         0,       723,           0,          0
    129,     1416,        794,         0,       730,           0,          0
    130,     1429,        803,         0,       744,           0,          0
    131,     1448,        817,         0,       751,           0,          0
    132,     1463,        819,         0,       761,           0,          0
    133,     1473,        824,         0,       770,           0,          0
    134,     1489,        828,         0,       769,           0,          0
