    n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
    0,             0,               0,              0,          0,            0,           0
    1,             0,               0,              0,          0,            0,           0
    2,             1,               0,              0,          1,            0,           0
    3,             2,               0,              0,          3,            0,           0
    4,             5,               3,              0,          6,            3,           0
    5,             7,               4,              0,         10,            4,           0
    6,            12,               9,              0,         15,            9,           0
    7,            18,              15,              0,         21,           15,           0
    8,            25,              21,              0,         28,           21,           0
    9,            28,              23,              0,         36,           23,           0
   10,            35,              29,              0,         45,           29,           0
   11,            36,              29,              0,         55,           29,           0
   12,            46,              38,              0,         66,           38,           0
   13,            50,              41,              0,         78,           41,           0
   14,            56,              46,              0,         91,           46,           0
   15,            60,              49,              0,        105,           49,           0
   16,            69,              57,              0,        120,           57,           0
   17,            72,              59,              0,        136,           59,           0
   18,            87,              73,              0,        153,           73,           0
   19,            97,              82,              0,        171,           82,           0
   20,           101,              85,              0,        190,           85,           0
   21,           112,              95,              0,        210,           95,           0
   22,           113,              95,              0,        231,           95,           0
   23,           116,              97,              0,        253,           97,           0
   24,           126,             106,              0,        276,          106,           0
   25,           147,             126,              0,        300,          126,           0
   26,           159,             137,              0,        325,          137,           0
   27,           176,             153,              0,        351,          153,           0
   28,           182,             158,              0,        378,          158,           0
   29,           189,             164,              0,        406,          164,           0
   30,           211,             185,              0,        435,          185,           0
   31,           241,             215,              0,        465,          215,           0
   32,           268,             241,              0,        496,          241,           0
   33,           294,             266,             15,        528,          266,           0
   34,           318,             289,              0,        561,          289,           0
   35,           346,             316,              0,        595,          316,           0
   36,           381,             350,              0,        630,          350,           0
   37,           397,             365,              0,        666,          365,           0
   38,           431,             398,              0,        703,          398,           0
   39,           469,             436,              0,        741,          436,           0
   40,           497,             463,              0,        780,          463,           0
   41,           512,             477,              0,        820,          477,           0
   42,           514,             478,              0,        861,          478,           0
   43,           519,             482,              0,        903,          482,           0
   44,           531,             493,              0,        946,          493,           0
   45,           575,             537,              0,        990,          537,           0
   46,           618,             579,              0,       1035,          579,           0
   47,           633,             593,              0,       1081,          593,           0
   48,           652,             611,              0,       1128,          611,           0
   49,           696,             654,              0,       1176,          654,          15
   50,           723,             680,              0,       1225,          680,           0
   51,           753,             709,              0,       1275,          709,           0
   52,           804,             759,              0,       1326,          759,           0
   53,           855,             809,              0,       1378,          809,           0
   54,           905,             858,              0,       1431,          858,           0
   55,           927,             879,              0,       1485,          879,           0
   56,           973,             924,              0,       1540,          924,           0
   57,          1026,             976,              0,       1596,          976,           0
   58,          1036,             985,              0,       1653,          985,           0
   59,          1091,            1039,              0,       1711,         1039,          15
   60,          1134,            1081,              0,       1770,         1081,           0
   61,          1162,            1108,              0,       1830,         1108,           0
   62,          1198,            1143,              0,       1891,         1143,           0
   63,          1216,            1160,              0,       1953,         1160,           0
   64,          1235,            1178,              0,       2016,         1178,           0
   65,          1293,            1235,              0,       2080,         1235,           0
   66,          1350,            1291,              0,       2145,         1291,          15
   67,          1363,            1303,              0,       2211,         1303,           0
   68,          1408,            1347,              3,       2278,         1347,           0
   69,          1430,            1368,              0,       2346,         1368,           0
   70,          1499,            1436,              0,       2415,         1436,           0
   71,          1529,            1465,              0,       2485,         1465,           0
   72,          1540,            1475,              0,       2556,         1475,           0
   73,          1587,            1521,             13,       2628,         1521,           0
   74,          1630,            1563,              0,       2701,         1563,           0
   75,          1699,            1631,              0,       2775,         1631,           0
   76,          1760,            1691,              0,       2850,         1691,           0
   77,          1806,            1736,              0,       2926,         1736,           0
   78,          1810,            1739,             14,       3003,         1739,           1
   79,          1837,            1765,              0,       3081,         1765,           0
   80,          1879,            1806,              0,       3160,         1806,           0
   81,          1907,            1833,              0,       3240,         1833,           0
   82,          1933,            1858,              0,       3321,         1858,          14
   83,          1936,            1860,              0,       3403,         1860,           0
   84,          1980,            1903,              0,       3486,         1903,           0
   85,          2050,            1972,              0,       3570,         1972,           0
   86,          2053,            1974,              0,       3655,         1974,           0
   87,          2089,            2009,             15,       3741,         2009,           0
   88,          2129,            2048,              0,       3828,         2048,           0
   89,          2191,            2109,              0,       3916,         2109,           0
   90,          2270,            2187,              0,       4005,         2187,           0
   91,          2323,            2239,              0,       4095,         2239,          15
   92,          2333,            2248,              0,       4186,         2248,           0
   93,          2400,            2314,              0,       4278,         2314,           0
   94,          2425,            2338,              0,       4371,         2338,           0
   95,          2454,            2366,              0,       4465,         2366,          15
   96,          2542,            2453,              0,       4560,         2453,           0
   97,          2630,            2540,              0,       4656,         2540,           9
   98,          2695,            2604,              0,       4753,         2604,           0
   99,          2710,            2618,              7,       4851,         2618,           0
  100,          2797,            2704,              0,       4950,         2704,           0
  101,          2811,            2717,              0,       5050,         2717,           0
  102,          2870,            2775,             15,       5151,         2775,           0
  103,          2904,            2808,              0,       5253,         2808,           0
  104,          2979,            2882,              0,       5356,         2882,           0
  105,          3083,            2985,             15,       5460,         2985,           0
  106,          3110,            3011,              0,       5565,         3011,           0
  107,          3199,            3099,              0,       5671,         3099,           0
  108,          3238,            3137,             15,       5778,         3137,           0
  109,          3333,            3231,              0,       5886,         3231,           0
  110,          3372,            3269,              0,       5995,         3269,           0
  111,          3457,            3353,             15,       6105,         3353,           0
  112,          3568,            3464,              0,       6216,         3464,           0
  113,          3603,            3498,              0,       6328,         3498,          15
  114,          3626,            3520,              0,       6441,         3520,           0
  115,          3738,            3631,              0,       6555,         3631,           0
  116,          3801,            3693,             16,       6670,         3693,           0
  117,          3820,            3711,              0,       6786,         3711,           0
  118,          3912,            3802,              0,       6903,         3802,          15
  119,          3956,            3845,              0,       7021,         3845,           0
  120,          4075,            3964,              0,       7140,         3964,          15
  121,          4103,            3991,              0,       7260,         3991,           0
  122,          4218,            4105,              0,       7381,         4105,           0
