 n, heap_cmp, heap_swaps, heap_time, merge_cmp, merge_swaps, merge_time
 0,        0,          0,         0,         0,           0,          0
 1,        0,          0,         0,         0,           0,          0
 2,        1,          2,         0,         1,           0,          0
 3,        3,          4,         0,         2,           0,          0
 4,        6,          7,         0,         4,           0,          0
 5,       10,          9,         0,         7,           0,          0
 6,       16,         13,         0,        10,           0,          0
 7,       21,         16,         0,        13,           0,          0
 8,       27,         21,         0,        15,           0,          0
 9,       34,         25,         0,        17,           0,          0
10,       40,         29,         0,        22,           0,          0
