     n, heap_cmp, heap_swaps, heap_time, merge_cmp, merge_swaps, merge_time
     0,        0,          0,         0,         0,           0,          0
     1,        0,          0,         0,         0,           0,          0
     2,        1,          2,         0,         1,           0,          0
     3,        3,          4,         0,         2,           0,          0
     4,        6,          7,         0,         4,           0,          0
     5,       11,          9,         0,         6,           0,          0
     6,       15,         13,         0,         8,           0,          0
     7,       20,         15,         0,        10,           0,          0
     8,       26,         21,         0,        12,           0,          0
     9,       34,         24,         0,        13,           0,          0
    10,       40,         30,         0,        17,           0,         12
    11,       48,         33,         0,        19,           0,          0
    12,       55,         41,         0,        22,           0,          0
    13,       63,         45,         0,        24,           0,          0
    14,       69,         49,         0,        29,           0,          0
    15,       77,         53,         0,        30,           0,          0
    16,       86,         59,         0,        34,           0,          0
    17,       97,         65,         0,        35,           0,          0
    18,      105,         69,         0,        36,           0,          0
    19,      115,         75,         0,        38,           0,          0
    20,      124,         81,         0,        44,           0,          0
    21,      135,         86,         0,        46,           0,          0
    22,      142,         91,         0,        49,           0,          0
    23,      151,         96,         0,        54,           0,          0
    24,      161,        105,         1,        56,           0,          0
    25,      171,        109,         0,        60,           0,          0
    26,      178,        115,         0,        62,           0,          0
    27,      188,        119,         0,        68,           0,          0
    28,      196,        125,         0,        71,           0,          0
    29,      206,        131,         0,        76,           0,          0
    30,      213,        137,         0,        77,           0,          0
    31,      223,        141,         0,        80,           0,          0
    32,      230,        147,         0,        87,           0,          0
    33,      242,        155,         0,        88,           0,          1
    34,      256,        163,         0,        90,           0,          0
    35,      268,        167,         0,        92,           0,          0
    36,      276,        173,         0,        93,           0,          0
    37,      288,        181,         0,        95,           0,          0
    38,      299,        188,         0,        97,           0,          0
    39,      311,        193,         0,       101,           0,          0
    40,      324,        201,         0,       115,           0,          0
    41,      335,        206,         0,       117,           0,          0
    42,      340,        210,         0,       117,           0,          0
    43,      353,        218,         0,       123,           0,          0
    44,      361,        220,         0,       124,           0,          0
    45,      373,        228,         0,       126,           0,          2
    46,      386,        238,         0,       131,           0,          0
    47,      398,        244,         0,       134,           0,          0
    48,      411,        254,         0,       137,           0,          0
    49,      422,        259,         0,       139,           0,          0
    50,      433,        266,         0,       147,           0,          0
    51,      445,        271,         0,       148,           0,          0
    52,      455,        277,         0,       153,           0,          0
    53,      467,        285,         0,       154,           0,          0
    54,      478,        293,         0,       161,           0,          0
    55,      490,        297,         3,       168,           0,          0
    56,      498,        305,         0,       171,           0,          0
    57,      512,        313,         0,       173,           0,          0
    58,      524,        318,         0,       177,           0,          0
    59,      536,        325,         0,       180,           0,          0
    60,      547,        331,         0,       187,           0,          0
    61,      559,        336,         0,       192,           0,          0
    62,      571,        346,         0,       195,           0,          0
    63,      581,        350,         0,       198,           0,          0
    64,      593,        357,         0,       207,           0,          0
    65,      606,        363,         0,       209,           0,          0
    66,      618,        371,         0,       213,           0,          0
    67,      635,        381,         0,       212,           0,          0
    68,      650,        389,         0,       218,           0,          0
    69,      661,        393,         6,       219,           0,          0
    70,      677,        406,         0,       222,           0,          0
    71,      692,        413,         0,       228,           0,          1
    72,      702,        422,         0,       228,           0,          0
    73,      716,        426,         0,       230,           0,          1
    74,      731,        436,         0,       235,           0,          0
    75,      744,        444,         1,       237,           0,          0
    76,      753,        448,         0,       243,           0,          0
    77,      769,        457,         0,       246,           0,          0
    78,      783,        467,         0,       249,           0,          0
    79,      798,        473,         0,       251,           0,          0
    80,      811,        483,         0,       264,           0,          0
    81,      822,        484,         0,       266,           0,          0
    82,      837,        500,         0,       270,           0,          0
    83,      853,        506,         0,       273,           0,          0
    84,      865,        512,         0,       275,           0,          0
    85,      878,        518,         0,       278,           0,          0
    86,      892,        528,         0,       287,           0,          0
    87,      906,        536,        10,       289,           0,          0
    88,      916,        541,         1,       290,           0,          0
    89,      930,        545,         0,       293,           0,          0
    90,      943,        560,         0,       294,           0,          2
    91,      961,        567,         0,       300,           0,          0
    92,      972,        573,         0,       310,           0,          0
    93,      986,        579,         0,       314,           0,          0
    94,     1000,        591,         2,       316,           0,          0
    95,     1010,        599,         0,       319,           0,          0
    96,     1026,        607,         0,       326,           0,          0
    97,     1038,        615,         0,       328,           0,          0
    98,     1051,        624,         0,       329,           0,          0
    99,     1065,        630,         0,       332,           0,          0
   100,     1078,        639,         0,       339,           0,          0
   101,     1092,        645,         1,       345,           0,          0
   102,     1107,        655,         0,       349,           0,          0
   103,     1121,        659,         0,       352,           0,          0
   104,     1136,        668,         0,       359,           0,          0
   105,     1146,        672,         0,       361,           0,          0
   106,     1163,        682,         0,       361,           0,          0
   107,     1175,        692,         6,       366,           0,          0
   108,     1187,        700,         0,       373,           0,          0
   109,     1204,        710,         0,       378,           0,          0
   110,     1215,        716,         0,       385,           0,          3
   111,     1229,        720,         0,       396,           0,          0
   112,     1240,        730,         0,       398,           0,          0
   113,     1257,        741,         0,       401,           0,          0
   114,     1268,        743,         0,       400,           0,          0
   115,     1284,        751,         0,       404,           0,          0
   116,     1295,        761,         0,       410,           0,          0
   117,     1309,        771,         0,       414,           0,          0
   118,     1322,        778,         0,       419,           0,          0
   119,     1337,        786,         0,       419,           0,          0
   120,     1347,        786,         0,       435,           0,          0
   121,     1363,        798,        10,       439,           0,          0
   122,     1377,        808,         0,       436,           0,          0
   123,     1391,        816,         1,       443,           0,          0
   124,     1402,        818,         0,       447,           0,          0
   125,     1423,        833,         0,       457,           0,          0
   126,     1436,        841,         0,       458,           0,          0
   127,     1446,        847,         0,       464,           0,          0
   128,     1453,        853,         0,       471,           0,          0
   129,     1469,        859,         0,       472,           0,          0
   130,     1492,        877,         0,       482,           0,          8
   131,     1506,        883,         0,       480,           0,          0
   132,     1521,        889,         0,       485,           0,          0
   133,     1538,        899,         0,       488,           0,          0
   134,     1553,        907,         0,       487,           0,          0
