    n, heap_cmp, heap_swaps, heap_time, merge_cmp, merge_swaps, merge_time
    0,        0,          0,         0,         0,           0,          0
    1,        0,          0,         0,         0,           0,          0
    2,        1,          1,         0,         1,           0,          0
    3,        3,          3,         0,         3,           0,          0
    4,        7,          7,         0,         5,           0,          0
    5,       12,         11,         0,         6,           0,          0
    6,       15,         14,         0,         8,           0,          0
    7,       19,         16,         0,        11,           0,          0
    8,       25,         20,         0,        14,           0,          0
    9,       33,         24,         0,        15,           0,          0
   10,       39,         30,         0,        18,           0,          0
   11,       47,         33,         0,        21,           0,          0
   12,       54,         39,         0,        23,           0,          0
   13,       62,         44,         0,        24,           0,          0
   14,       68,         48,         0,        29,           0,          0
   15,       76,         52,         0,        30,           0,          0
   16,       84,         57,         0,        36,           0,          1
   17,       94,         63,         0,        38,           0,          0
   18,      101,         67,         0,        40,           0,          0
   19,      111,         73,         0,        41,           0,          0
   20,      120,         80,         0,        47,           0,          0
   21,      130,         84,         0,        51,           0,          0
   22,      138,         88,         0,        51,           0,          0
   23,      148,         95,         0,        54,           0,          0
   24,      157,        101,         0,        61,           0,          0
   25,      168,        107,         0,        62,           0,          0
   26,      176,        111,         0,        62,           0,          0
   27,      186,        117,         0,        63,           0,          0
   28,      194,        124,         0,        72,           0,          0
   29,      203,        128,         0,        75,           0,          0
   30,      213,        132,         0,        79,           0,          0
   31,      223,        138,         0,        82,           0,          0
   32,      234,        148,         0,        88,           0,          0
   33,      248,        154,         0,        90,           0,          0
   34,      257,        159,         0,        93,           0,          0
   35,      269,        165,         0,        95,           0,          0
   36,      279,        175,         0,       101,           0,          0
   37,      291,        181,         0,       102,           0,          0
   38,      302,        190,         0,       104,           0,          0
   39,      314,        194,         0,       108,           0,          0
   40,      322,        200,         0,       114,           0,          0
   41,      336,        206,         0,       115,           0,          0
   42,      345,        213,         0,       122,           0,          0
   43,      357,        219,         0,       125,           0,          0
   44,      368,        226,         0,       127,           0,          0
   45,      381,        234,         0,       131,           0,         14
   46,      393,        238,         0,       134,           0,          1
   47,      404,        243,         0,       137,           0,          0
   48,      410,        249,         1,       147,           0,          0
   49,      423,        255,         0,       149,           0,          0
   50,      434,        265,         0,       153,           0,          0
   51,      446,        270,         0,       155,           0,          0
   52,      458,        277,         0,       155,           0,          0
   53,      468,        285,         0,       160,           0,          0
   54,      479,        290,         0,       161,           0,          0
   55,      490,        296,         0,       165,           0,          0
   56,      500,        304,         0,       172,           0,          0
   57,      513,        308,         0,       175,           0,          0
   58,      522,        316,         0,       182,           0,          0
   59,      535,        324,        12,       182,           0,          0
   60,      543,        330,         0,       189,           0,          0
   61,      554,        336,         0,       193,           0,          0
   62,      568,        344,         0,       198,           0,          0
   63,      580,        350,         0,       201,           0,          0
   64,      593,        363,         0,       207,           0,          0
   65,      608,        367,         0,       209,           0,          0
   66,      620,        377,         0,       213,           0,          0
   67,      635,        383,         0,       215,           0,          0
   68,      648,        390,         0,       217,           0,          0
   69,      663,        400,         0,       218,           0,         15
   70,      674,        404,         0,       221,           0,          0
   71,      689,        410,         0,       225,           0,          0
   72,      700,        420,         0,       230,           0,          0
   73,      715,        422,         0,       232,           0,          0
   74,      727,        436,         0,       237,           0,          0
   75,      743,        442,         0,       240,           0,          0
   76,      755,        450,         0,       240,           0,          0
   77,      769,        456,         0,       242,           0,          0
   78,      780,        468,         0,       249,           0,          0
   79,      796,        473,        15,       254,           0,          0
   80,      809,        481,         0,       261,           0,          0
   81,      826,        493,         0,       263,           0,          0
   82,      838,        499,         0,       265,           0,          0
   83,      854,        505,         0,       268,           0,          0
   84,      865,        512,         0,       275,           0,          0
   85,      881,        522,         0,       278,           0,          0
   86,      894,        530,         0,       283,           0,          0
   87,      909,        536,        15,       287,           0,          0
   88,      921,        546,         0,       290,           0,          0
   89,      937,        554,         3,       294,           0,          0
   90,      950,        562,         0,       297,           0,          0
   91,      965,        570,         0,       301,           0,          0
   92,      979,        580,         0,       306,           0,          0
   93,      993,        584,         0,       310,           0,          0
   94,     1005,        592,         0,       311,           0,          0
   95,     1017,        598,        12,       319,           0,          0
   96,     1025,        602,         0,       328,           0,          3
   97,     1041,        611,         0,       330,           0,          0
   98,     1056,        621,         0,       331,           0,          0
   99,     1069,        628,         0,       335,           0,          0
  100,     1084,        638,         0,       342,           0,          0
  101,     1099,        643,         0,       344,           0,          0
  102,     1111,        651,        12,       347,           0,          0
  103,     1124,        659,         0,       350,           0,          0
  104,     1139,        665,         0,       352,           0,          0
  105,     1150,        673,         0,       354,           0,          0
  106,     1164,        679,         0,       359,           0,          0
  107,     1178,        690,         0,       364,           0,          0
  108,     1193,        698,         0,       366,           0,          0
  109,     1207,        704,        15,       370,           0,          0
  110,     1216,        712,         0,       376,           0,          0
  111,     1231,        720,         0,       381,           0,          0
  112,     1241,        722,         0,       390,           0,          0
  113,     1257,        732,         0,       393,           0,          0
  114,     1270,        744,         0,       398,           0,          0
  115,     1284,        751,         0,       400,           0,          0
  116,     1298,        760,         0,       410,           0,          0
  117,     1312,        765,         0,       415,           0,          0
  118,     1324,        773,        15,       416,           0,          0
  119,     1338,        781,         1,       420,           0,          0
  120,     1348,        789,         0,       428,           0,          0
  121,     1362,        795,         0,       431,           0,          0
  122,     1380,        807,         0,       440,           0,          0
  123,     1392,        813,         0,       441,           0,          0
  124,     1401,        812,         0,       449,           0,          0
  125,     1416,        824,         0,       453,           0,          0
  126,     1430,        836,        10,       460,           0,          0
  127,     1448,        844,         0,       465,           0,          0
  128,     1457,        851,         0,       470,           0,          0
  129,     1473,        863,         0,       472,           0,          0
  130,     1488,        871,         0,       475,           0,          0
  131,     1508,        883,         0,       480,           0,          0
  132,     1525,        889,         0,       484,           0,          0
  133,     1537,        897,         0,       483,           0,          5
  134,     1555,        906,         0,       491,           0,          0
