  n, heap_cmp, heap_swaps, heap_time, merge_cmp, merge_swaps, merge_time
  0,        0,          0,         0,         0,           0,          0
  1,        0,          0,         0,         0,           0,          0
  2,        1,          2,         0,         1,           0,          0
  3,        3,          4,         0,         2,           0,          0
  4,        6,          7,         0,         4,           0,          0
  5,       11,          9,         0,         6,           0,          0
  6,       15,         12,         0,        10,           0,          0
  7,       20,         13,         0,        13,           0,          0
  8,       26,         19,         0,        15,           0,          0
  9,       34,         23,         0,        16,           0,          0
 10,       40,         28,         0,        18,           0,          0
 11,       47,         31,         0,        21,           0,          0
 12,       54,         37,         0,        26,           0,          0
 13,       62,         41,         0,        28,           0,          0
 14,       67,         45,         0,        30,           0,          0
 15,       75,         50,         0,        33,           0,          0
 16,       84,         56,         0,        36,           0,          0
 17,       94,         62,         0,        37,           0,          0
 18,      102,         68,         0,        40,           0,          0
 19,      112,         71,         0,        42,           0,          0
 20,      121,         81,         0,        45,           0,          0
 21,      131,         85,         0,        47,           0,          0
 22,      138,         89,         0,        49,           0,          0
 23,      148,         93,         0,        53,           0,          0
 24,      157,         99,         0,        59,           0,          0
 25,      166,        105,         0,        61,           0,          0
 26,      176,        109,         0,        63,           0,          0
 27,      184,        115,         0,        67,           0,          0
 28,      193,        122,         0,        69,           0,          0
 29,      203,        127,         0,        73,           0,          0
 30,      211,        133,         0,        78,           0,          0
 31,      221,        137,         0,        82,           0,          0
 32,      229,        144,         0,        86,           0,          0
 33,      241,        152,         0,        87,           0,          0
 34,      254,        159,         0,        88,           0,          0
 35,      266,        164,         0,        90,           0,          0
 36,      277,        172,         0,        97,           0,          0
 37,      289,        177,         0,       100,           0,          0
 38,      298,        183,         0,       102,           0,          0
 39,      310,        191,         0,       108,           0,          0
 40,      319,        197,         0,       111,           0,          0
 41,      331,        201,        13,       113,           0,          0
 42,      344,        213,         0,       115,           0,          0
 43,      355,        218,         0,       117,           0,          0
 44,      365,        221,         0,       122,           0,          0
 45,      377,        228,         0,       127,           0,          0
 46,      388,        236,         0,       132,           0,          0
 47,      400,        244,         0,       135,           0,          0
 48,      411,        250,         0,       144,           0,          0
 49,      423,        255,         0,       146,           0,          0
 50,      434,        262,         0,       146,           0,          0
 51,      446,        271,         0,       151,           0,          0
 52,      456,        277,         0,       153,           0,          0
 53,      470,        284,         0,       158,           0,          0
 54,      481,        291,         0,       162,           0,          0
 55,      491,        299,        15,       169,           0,          0
 56,      502,        301,         0,       172,           0,          0
 57,      512,        309,         2,       175,           0,          0
 58,      523,        320,         0,       176,           0,          0
 59,      535,        325,         0,       181,           0,          0
 60,      545,        332,         0,       184,           0,          0
 61,      558,        339,         0,       190,           0,          0
 62,      567,        346,         0,       196,           0,          0
 63,      580,        352,         0,       203,           0,          0
 64,      590,        355,         0,       205,           0,          0
 65,      602,        359,         0,       206,           0,          0
 66,      617,        372,         0,       208,           0,          1
 67,      635,        381,         0,       207,           0,          0
 68,      647,        391,         0,       217,           0,          0
 69,      662,        399,         0,       219,           0,          0
 70,      675,        406,         0,       223,           0,          0
 71,      685,        408,         0,       224,           0,          0
 72,      696,        416,         0,       231,           0,          0
 73,      712,        423,         0,       231,           0,          0
 74,      725,        432,         0,       237,           0,         13
 75,      738,        436,         0,       240,           0,          0
 76,      752,        448,         0,       244,           0,          0
 77,      763,        454,         5,       250,           0,          0
 78,      779,        463,         0,       250,           0,          0
 79,      792,        469,         0,       256,           0,          0
 80,      809,        477,         0,       262,           0,          0
 81,      820,        483,         0,       263,           0,          0
 82,      832,        495,         0,       265,           0,          0
 83,      847,        499,        10,       271,           0,          0
 84,      858,        511,         0,       272,           0,          0
 85,      874,        517,         0,       276,           0,          0
 86,      887,        526,         0,       278,           0,          0
 87,      905,        530,         0,       281,           0,          0
 88,      914,        540,         0,       287,           0,          0
 89,      927,        548,         0,       290,           0,          0
 90,      941,        557,        13,       295,           0,          0
 91,      960,        563,         0,       298,           0,          0
 92,      973,        567,         0,       305,           0,          0
 93,      989,        578,         0,       308,           0,          0
 94,     1000,        588,         0,       317,           0,          0
 95,     1015,        594,         0,       318,           0,          0
 96,     1030,        605,         0,       327,           0,          0
 97,     1045,        611,         0,       329,           0,          0
 98,     1057,        620,         0,       338,           0,          0
 99,     1072,        627,        15,       342,           0,          0
100,     1086,        637,         0,       335,           0,          0
