     n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
     0,             0,               0,              0,          0,            0,           0
     1,             0,               0,              0,          0,            0,           0
     2,             1,               0,              0,          1,            0,           0
     3,             3,               2,              0,          3,            2,           0
     4,             6,               5,              0,          6,            5,           0
     5,             7,               5,              0,         10,            5,           0
     6,            12,              10,              0,         15,           10,           0
     7,            18,              15,              0,         21,           15,           0
     8,            20,              16,              0,         28,           16,           0
     9,            22,              17,              0,         36,           17,           0
    10,            31,              26,              0,         45,           26,           0
    11,            34,              28,              0,         55,           28,           0
    12,            39,              32,              0,         66,           32,           0
    13,            49,              41,              0,         78,           41,           0
    14,            56,              47,              0,         91,           47,           0
    15,            66,              56,              0,        105,           56,           0
    16,            70,              59,              0,        120,           59,           0
    17,            75,              63,              0,        136,           63,           0
    18,            78,              65,              0,        153,           65,           0
    19,            96,              82,              0,        171,           82,           0
    20,           109,              94,              0,        190,           94,           0
    21,           125,             109,              0,        210,          109,           0
    22,           142,             125,              0,        231,          125,           0
    23,           144,             126,              0,        253,          126,           0
    24,           145,             126,              0,        276,          126,           0
    25,           159,             139,              0,        300,          139,           0
    26,           171,             150,              0,        325,          150,           3
    27,           182,             160,              0,        351,          160,           0
    28,           194,             171,              0,        378,          171,           0
    29,           212,             188,              0,        406,          188,           0
    30,           228,             203,              0,        435,          203,           0
    31,           231,             205,              0,        465,          205,           0
    32,           261,             234,              0,        496,          234,           0
    33,           266,             238,              0,        528,          238,           0
    34,           290,             261,              0,        561,          261,           0
    35,           293,             263,              0,        595,          263,           0
    36,           305,             274,              0,        630,          274,           0
    37,           334,             302,              0,        666,          302,           0
    38,           349,             316,              0,        703,          316,           0
    39,           358,             324,              0,        741,          324,           0
    40,           389,             354,              0,        780,          354,           0
    41,           420,             384,              0,        820,          384,           0
    42,           429,             392,              0,        861,          392,           0
    43,           455,             417,              0,        903,          417,           0
    44,           464,             425,              0,        946,          425,           0
    45,           508,             469,              0,        990,          469,           0
    46,           542,             502,              0,       1035,          502,           0
    47,           562,             521,              0,       1081,          521,           0
    48,           580,             538,              0,       1128,          538,           0
    49,           625,             582,              0,       1176,          582,          15
    50,           642,             598,              0,       1225,          598,           0
    51,           677,             632,              0,       1275,          632,           2
    52,           719,             673,              0,       1326,          673,           0
    53,           727,             680,              0,       1378,          680,           0
    54,           768,             720,              0,       1431,          720,           0
    55,           806,             757,              0,       1485,          757,           0
    56,           861,             812,              0,       1540,          812,           0
    57,           867,             817,              0,       1596,          817,           0
    58,           910,             859,              0,       1653,          859,           0
    59,           920,             868,              0,       1711,          868,           0
    60,           942,             889,              0,       1770,          889,           0
    61,           948,             894,             13,       1830,          894,           0
    62,           960,             905,              0,       1891,          905,           0
    63,           962,             906,              0,       1953,          906,           0
    64,           967,             910,              0,       2016,          910,           0
    65,           971,             913,              0,       2080,          913,           0
    66,          1032,             973,              0,       2145,          973,           0
    67,          1058,             998,              0,       2211,          998,           0
    68,          1111,            1050,              0,       2278,         1050,           0
    69,          1130,            1068,              0,       2346,         1068,          15
    70,          1148,            1085,              0,       2415,         1085,           0
    71,          1169,            1105,              3,       2485,         1105,           0
    72,          1214,            1149,              0,       2556,         1149,           0
    73,          1269,            1203,              0,       2628,         1203,           0
    74,          1319,            1252,              0,       2701,         1252,           0
    75,          1325,            1257,              0,       2775,         1257,           0
    76,          1337,            1268,             11,       2850,         1268,           1
    77,          1356,            1286,              0,       2926,         1286,           0
    78,          1418,            1347,              0,       3003,         1347,           0
    79,          1423,            1351,              0,       3081,         1351,           0
    80,          1438,            1365,              0,       3160,         1365,          10
    81,          1512,            1438,              0,       3240,         1438,           0
    82,          1573,            1498,              0,       3321,         1498,           5
    83,          1648,            1572,              0,       3403,         1572,           0
    84,          1653,            1576,              0,       3486,         1576,           0
    85,          1677,            1599,              0,       3570,         1599,           0
    86,          1732,            1653,              0,       3655,         1653,           0
    87,          1746,            1666,              0,       3741,         1666,          14
    88,          1821,            1740,              0,       3828,         1740,           0
    89,          1877,            1795,              0,       3916,         1795,           0
    90,          1888,            1805,              0,       4005,         1805,           0
    91,          1970,            1886,              0,       4095,         1886,           0
    92,          2019,            1934,              0,       4186,         1934,          15
    93,          2021,            1935,              0,       4278,         1935,           0
    94,          2038,            1951,              0,       4371,         1951,           0
    95,          2110,            2022,              0,       4465,         2022,           0
    96,          2117,            2028,              0,       4560,         2028,          15
    97,          2200,            2110,              0,       4656,         2110,           0
    98,          2273,            2182,              0,       4753,         2182,           0
    99,          2338,            2246,              0,       4851,         2246,           0
   100,          2424,            2331,              0,       4950,         2331,          15
   101,          2518,            2424,              0,       5050,         2424,           0
   102,          2544,            2449,              0,       5151,         2449,           0
   103,          2549,            2453,              0,       5253,         2453,           0
   104,          2592,            2495,              0,       5356,         2495,          15
   105,          2696,            2599,              0,       5460,         2599,           0
   106,          2719,            2621,              0,       5565,         2621,           0
   107,          2737,            2638,              0,       5671,         2638,           0
   108,          2795,            2695,             15,       5778,         2695,           2
   109,          2831,            2730,              0,       5886,         2730,           0
   110,          2903,            2801,              0,       5995,         2801,           0
   111,          2949,            2846,             14,       6105,         2846,           0
   112,          2981,            2877,              0,       6216,         2877,           0
   113,          3007,            2902,              0,       6328,         2902,           0
   114,          3100,            2994,             15,       6441,         2994,           0
   115,          3158,            3051,              0,       6555,         3051,           0
   116,          3247,            3139,              0,       6670,         3139,           0
   117,          3344,            3235,             17,       6786,         3235,           0
   118,          3386,            3276,              0,       6903,         3276,           0
   119,          3430,            3319,              0,       7021,         3319,          14
   120,          3478,            3366,              0,       7140,         3366,           0
   121,          3504,            3391,              0,       7260,         3391,           0
   122,          3552,            3438,              0,       7381,         3438,          15
   123,          3575,            3460,              0,       7503,         3460,           0
   124,          3696,            3580,              0,       7626,         3580,           0
