  n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
  0,             0,               0,              0,          0,            0,           0
  1,             0,               0,              0,          0,            0,           0
  2,             1,               1,              0,          1,            1,           0
  3,             2,               1,              0,          3,            1,           0
  4,             4,               2,              0,          6,            2,           0
  5,             5,               2,              0,         10,            2,           0
  6,            10,               6,              0,         15,            6,           0
  7,            13,               8,              0,         21,            8,           0
  8,            20,              15,              0,         28,           15,           0
  9,            26,              20,              0,         36,           20,           0
 10,            34,              27,              0,         45,           27,           0
 11,            40,              32,              0,         55,           32,           0
 12,            44,              35,              0,         66,           35,           0
 13,            55,              45,              0,         78,           45,           0
 14,            59,              48,              0,         91,           48,           0
 15,            67,              55,              0,        105,           55,           0
 16,            70,              57,              0,        120,           57,           0
 17,            83,              69,              0,        136,           69,           0
 18,            92,              77,              0,        153,           77,           0
 19,            95,              79,              0,        171,           79,           0
 20,           114,              98,              0,        190,           98,           0
 21,           133,             116,              0,        210,          116,           0
 22,           154,             136,              0,        231,          136,           0
 23,           168,             149,              0,        253,          149,           0
 24,           182,             162,              0,        276,          162,           0
 25,           198,             177,              0,        300,          177,           0
 26,           211,             189,              0,        325,          189,           0
 27,           235,             212,              0,        351,          212,           0
 28,           241,             217,              0,        378,          217,           0
 29,           248,             223,              0,        406,          223,           0
 30,           255,             229,              0,        435,          229,           0
 31,           268,             241,              0,        465,          241,           0
 32,           280,             252,              0,        496,          252,          15
 33,           293,             264,              0,        528,          264,           0
 34,           321,             291,              0,        561,          291,           0
 35,           329,             298,              0,        595,          298,           0
 36,           357,             325,              0,        630,          325,           0
 37,           386,             353,              0,        666,          353,           0
 38,           415,             381,              0,        703,          381,           0
 39,           419,             384,              0,        741,          384,           0
 40,           458,             423,              0,        780,          423,           0
 41,           486,             450,              0,        820,          450,           0
 42,           508,             471,              0,        861,          471,           0
 43,           538,             500,              0,        903,          500,           0
 44,           544,             505,              0,        946,          505,           0
 45,           558,             518,              0,        990,          518,           0
 46,           580,             539,              0,       1035,          539,           0
 47,           610,             568,              0,       1081,          568,           0
 48,           635,             592,              0,       1128,          592,           0
 49,           677,             633,              0,       1176,          633,          15
 50,           716,             671,              0,       1225,          671,           0
 51,           726,             680,              0,       1275,          680,           0
 52,           729,             682,              0,       1326,          682,           0
 53,           748,             700,              0,       1378,          700,           0
 54,           800,             751,              0,       1431,          751,           0
 55,           848,             798,              0,       1485,          798,           0
 56,           884,             833,              0,       1540,          833,           0
 57,           908,             856,              0,       1596,          856,           0
 58,           949,             896,              0,       1653,          896,           0
 59,          1007,             953,              0,       1711,          953,          15
 60,          1018,             963,              0,       1770,          963,           0
 61,          1067,            1011,              0,       1830,         1011,           0
 62,          1098,            1041,              0,       1891,         1041,           0
 63,          1105,            1047,              0,       1953,         1047,           0
 64,          1129,            1070,              0,       2016,         1070,           0
 65,          1139,            1079,              0,       2080,         1079,           0
 66,          1190,            1129,              0,       2145,         1129,          15
 67,          1252,            1190,              0,       2211,         1190,           0
 68,          1318,            1255,              0,       2278,         1255,           0
 69,          1382,            1318,              0,       2346,         1318,           0
 70,          1448,            1383,              0,       2415,         1383,           9
 71,          1502,            1436,              0,       2485,         1436,           0
 72,          1503,            1436,              0,       2556,         1436,           0
 73,          1571,            1503,              0,       2628,         1503,           7
 74,          1616,            1547,              0,       2701,         1547,           0
 75,          1682,            1612,              0,       2775,         1612,           0
 76,          1706,            1635,              0,       2850,         1635,           0
 77,          1710,            1638,              0,       2926,         1638,           0
 78,          1746,            1673,              0,       3003,         1673,          16
 79,          1814,            1740,              1,       3081,         1740,           0
 80,          1819,            1744,              0,       3160,         1744,           0
 81,          1859,            1783,              0,       3240,         1783,           0
 82,          1882,            1805,              0,       3321,         1805,           0
 83,          1933,            1855,             13,       3403,         1855,           0
 84,          1938,            1859,              0,       3486,         1859,           0
 85,          1983,            1903,              0,       3570,         1903,           0
 86,          2010,            1929,              0,       3655,         1929,           0
 87,          2055,            1973,              0,       3741,         1973,          15
 88,          2094,            2011,              1,       3828,         2011,           0
 89,          2130,            2046,              0,       3916,         2046,           0
 90,          2185,            2100,              0,       4005,         2100,           0
 91,          2198,            2112,              0,       4095,         2112,           0
 92,          2212,            2125,             14,       4186,         2125,           0
 93,          2255,            2167,              0,       4278,         2167,           0
 94,          2295,            2206,              0,       4371,         2206,           0
 95,          2303,            2213,              0,       4465,         2213,           0
 96,          2379,            2288,             15,       4560,         2288,           0
 97,          2421,            2329,              0,       4656,         2329,           0
 98,          2517,            2424,              0,       4753,         2424,           0
 99,          2602,            2508,              0,       4851,         2508,          16
100,          2664,            2569,              0,       4950,         2569,           0
