      n, heap_cmp, heap_swaps, heap_time, merge_cmp, merge_swaps, merge_time
      0,        0,          0,         0,         0,           0,          0
      1,        0,          0,         0,         0,           0,          0
      2,        1,          2,         0,         1,           0,          0
      3,        3,          3,         0,         2,           0,          0
      4,        7,          6,         0,         5,           0,          0
      5,       12,         10,         0,         7,           0,          0
      6,       16,         13,         0,         8,           0,          0
      7,       21,         16,         0,        10,           0,          0
      8,       27,         20,         0,        13,           0,          0
      9,       35,         24,         0,        14,           0,          0
     10,       41,         29,         0,        17,           0,          0
     11,       48,         31,         0,        20,           0,          0
     12,       54,         36,         0,        22,           0,          0
     13,       62,         40,         0,        24,           0,          0
     14,       68,         45,         0,        26,           0,          0
     15,       75,         48,         0,        30,           0,          0
     16,       83,         56,         0,        33,           0,          0
     17,       93,         60,         0,        34,           0,          0
     18,      101,         66,         0,        37,           0,          0
     19,      111,         71,         0,        39,           0,          0
     20,      120,         79,         0,        43,           0,          0
     21,      130,         83,         0,        45,           0,          0
     22,      137,         89,         0,        48,           0,          0
     23,      148,         95,         0,        53,           0,          0
     24,      155,        100,         0,        57,           0,          0
     25,      165,        105,         0,        59,           0,          0
     26,      172,        110,         0,        61,           0,          0
     27,      182,        114,         0,        65,           0,          0
     28,      190,        120,         0,        68,           0,          0
     29,      199,        124,         0,        70,           0,          0
     30,      207,        132,         0,        80,           0,          0
     31,      217,        137,         0,        81,           0,          0
     32,      227,        141,         0,        85,           0,          0
     33,      239,        148,         0,        86,           0,          0
     34,      250,        156,         0,        86,           0,          0
     35,      263,        163,         0,        93,           0,          0
     36,      274,        171,         0,        97,           0,          0
     37,      286,        177,         0,       100,           0,          0
     38,      294,        184,         0,       105,           0,          0
     39,      306,        190,         0,       106,           0,          0
     40,      316,        193,         0,       110,           0,          0
     41,      329,        202,         0,       113,           0,          0
     42,      341,        210,         0,       118,           0,          0
     43,      351,        217,         0,       121,           0,          0
     44,      362,        223,         0,       125,           0,          0
     45,      375,        230,         0,       127,           0,          0
     46,      385,        237,         0,       132,           0,          0
     47,      399,        246,         0,       138,           0,          0
     48,      407,        250,         0,       140,           0,          0
     49,      419,        255,         0,       142,           0,          0
     50,      433,        264,         0,       145,           0,          0
     51,      444,        273,         0,       148,           0,          0
     52,      455,        281,         0,       153,           0,          0
     53,      469,        284,         0,       157,           0,          0
     54,      479,        293,         0,       160,           0,          0
     55,      490,        299,         0,       164,           0,          0
     56,      499,        300,         0,       167,           0,          0
     57,      511,        309,         0,       171,           0,          0
     58,      522,        319,         0,       169,           0,          0
     59,      535,        326,         0,       176,           0,          0
     60,      546,        330,         0,       186,           0,          0
     61,      557,        337,         0,       191,           0,          0
     62,      567,        346,         0,       193,           0,          0
     63,      580,        353,         1,       197,           0,          0
     64,      592,        360,         0,       203,           0,          0
     65,      605,        365,         0,       204,           0,          0
     66,      618,        373,         0,       206,           0,          0
     67,      634,        384,         0,       209,           0,          0
     68,      648,        389,         0,       210,           0,          0
     69,      661,        395,         0,       212,           0,          0
     70,      673,        407,         0,       217,           0,          0
     71,      688,        413,         0,       222,           0,          0
     72,      701,        418,         0,       227,           0,          0
     73,      716,        426,         0,       229,           0,          0
     74,      727,        435,         0,       229,           0,          0
     75,      742,        441,         0,       235,           0,          0
     76,      756,        449,         0,       239,           0,          0
     77,      768,        456,         0,       245,           0,          0
     78,      780,        465,         0,       245,           0,          0
     79,      796,        474,         0,       249,           0,          0
     80,      809,        478,         0,       255,           0,          0
     81,      824,        482,         0,       257,           0,          0
     82,      834,        494,         0,       258,           0,          0
     83,      847,        504,         0,       264,           0,          0
     84,      860,        508,         0,       270,           0,          0
     85,      875,        514,         0,       275,           0,          0
     86,      886,        526,         0,       276,           0,          0
     87,      900,        534,         0,       281,           0,          0
     88,      913,        543,         0,       287,           0,          0
     89,      929,        549,         0,       289,           0,          0
     90,      940,        552,         0,       293,           0,          0
     91,      954,        560,         0,       300,           0,          0
     92,      967,        567,         0,       303,           0,          0
     93,      981,        573,         0,       308,           0,          0
     94,      993,        583,         7,       314,           0,          0
     95,     1009,        590,         0,       321,           0,          0
     96,     1021,        599,         0,       325,           0,          0
     97,     1037,        606,         0,       328,           0,          0
     98,     1051,        617,         0,       329,           0,          0
     99,     1063,        618,         0,       331,           0,          0
    100,     1077,        628,         0,       340,           0,          0
    101,     1092,        638,         0,       340,           0,          0
    102,     1102,        644,         0,       345,           0,          0
    103,     1117,        651,         0,       348,           0,          0
    104,     1132,        661,         0,       353,           0,          0
    105,     1143,        668,         9,       357,           0,          0
    106,     1156,        673,         0,       364,           0,          0
    107,     1173,        683,         0,       366,           0,          0
    108,     1184,        691,         0,       371,           0,          0
    109,     1200,        701,         0,       377,           0,          0
    110,     1213,        709,         0,       376,           0,          0
    111,     1228,        716,         0,       388,           0,          0
    112,     1241,        725,         0,       388,           0,          0
    113,     1253,        726,         0,       390,           0,          0
    114,     1267,        740,         0,       399,           0,          0
    115,     1282,        746,         0,       404,           0,          0
    116,     1296,        755,         0,       402,           0,          0
    117,     1310,        759,         0,       407,           0,          0
    118,     1320,        767,         0,       416,           0,          0
    119,     1334,        777,         0,       417,           0,          0
    120,     1347,        785,         0,       433,           0,          0
    121,     1362,        792,         0,       436,           0,          0
    122,     1376,        801,        14,       443,           0,          0
    123,     1390,        806,         1,       446,           0,          0
    124,     1396,        808,         0,       450,           0,          0
    125,     1410,        817,         0,       452,           0,          0
    126,     1425,        830,         0,       462,           0,          0
    127,     1440,        837,         0,       465,           0,          0
    128,     1453,        843,         0,       473,           0,          0
    129,     1469,        851,         0,       474,           0,          0
    130,     1484,        861,         0,       474,           0,          0
    131,     1502,        872,         0,       482,           0,          0
    132,     1517,        882,         0,       482,           0,          0
    133,     1534,        890,         0,       483,           0,          0
    134,     1548,        900,         0,       488,           0,          0
