      n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
      0,             0,               0,              0,          0,            0,           0
      1,             0,               0,              0,          0,            0,           0
      2,             1,               1,              0,          1,            1,           0
      3,             3,               2,              0,          3,            2,           0
      4,             6,               4,              0,          6,            4,           0
      5,            10,               8,              0,         10,            8,           0
      6,            13,              10,              0,         15,           10,           0
      7,            18,              14,              0,         21,           14,           0
      8,            19,              14,              0,         28,           14,           0
      9,            27,              22,              0,         36,           22,           0
     10,            36,              31,              0,         45,           31,           0
     11,            42,              36,              0,         55,           36,           0
     12,            53,              47,              0,         66,           47,           0
     13,            58,              51,              0,         78,           51,           0
     14,            65,              57,              0,         91,           57,           0
     15,            75,              66,              0,        105,           66,           0
     16,            84,              74,              0,        120,           74,           0
     17,           100,              89,              0,        136,           89,           0
     18,           104,              92,              0,        153,           92,           0
     19,           115,             102,              0,        171,          102,           0
     20,           129,             115,              0,        190,          115,           0
     21,           144,             129,              0,        210,          129,           0
     22,           161,             145,              0,        231,          145,           0
     23,           178,             161,              0,        253,          161,           0
     24,           183,             165,              0,        276,          165,           0
     25,           207,             189,              0,        300,          189,           0
     26,           222,             203,              0,        325,          203,           0
     27,           248,             228,              0,        351,          228,           0
     28,           265,             244,              0,        378,          244,           0
     29,           292,             270,              0,        406,          270,           0
     30,           317,             294,              0,        435,          294,           0
     31,           324,             300,              0,        465,          300,           0
     32,           331,             306,              0,        496,          306,           0
     33,           342,             316,              0,        528,          316,           0
     34,           359,             332,             12,        561,          332,           0
     35,           392,             364,              0,        595,          364,           0
     36,           427,             398,              1,        630,          398,           0
     37,           433,             403,              0,        666,          403,           1
     38,           438,             407,              0,        703,          407,           0
     39,           444,             412,              0,        741,          412,           0
     40,           473,             440,              0,        780,          440,           3
     41,           512,             478,              0,        820,          478,           0
     42,           544,             509,              0,        861,          509,           0
     43,           550,             514,              0,        903,          514,           0
     44,           579,             542,              0,        946,          542,           0
     45,           585,             547,              0,        990,          547,           3
     46,           617,             578,              0,       1035,          578,           0
     47,           639,             599,              0,       1081,          599,           0
     48,           676,             635,              0,       1128,          635,           0
     49,           685,             643,              0,       1176,          643,           0
     50,           693,             650,              0,       1225,          650,           5
     51,           707,             663,              0,       1275,          663,           0
     52,           748,             703,              0,       1326,          703,           0
     53,           794,             748,              0,       1378,          748,           0
     54,           833,             786,              0,       1431,          786,           5
     55,           872,             824,              0,       1485,          824,           0
     56,           886,             837,              0,       1540,          837,           0
     57,           937,             887,              0,       1596,          887,           0
     58,           985,             934,              0,       1653,          934,           0
     59,          1002,             950,              0,       1711,          950,           0
     60,          1030,             977,              0,       1770,          977,           0
     61,          1057,            1003,             10,       1830,         1003,           1
     62,          1074,            1019,              1,       1891,         1019,           0
     63,          1132,            1076,              0,       1953,         1076,           1
     64,          1171,            1114,              0,       2016,         1114,           0
     65,          1219,            1161,              0,       2080,         1161,           0
     66,          1239,            1180,              0,       2145,         1180,           0
     67,          1282,            1222,              7,       2211,         1222,           0
     68,          1337,            1276,              0,       2278,         1276,           0
     69,          1405,            1343,              4,       2346,         1343,           0
     70,          1472,            1409,              0,       2415,         1409,           0
     71,          1496,            1432,              0,       2485,         1432,           0
     72,          1503,            1438,              0,       2556,         1438,           0
     73,          1517,            1451,              0,       2628,         1451,           0
     74,          1545,            1478,              0,       2701,         1478,           0
     75,          1566,            1498,             14,       2775,         1498,           1
     76,          1597,            1528,              1,       2850,         1528,           0
     77,          1631,            1561,              0,       2926,         1561,           3
     78,          1706,            1635,              1,       3003,         1635,           1
     79,          1743,            1671,              0,       3081,         1671,           0
     80,          1801,            1728,              0,       3160,         1728,           6
     81,          1808,            1734,              0,       3240,         1734,           0
     82,          1877,            1802,              0,       3321,         1802,           0
     83,          1879,            1803,              0,       3403,         1803,           0
     84,          1943,            1866,              0,       3486,         1866,           0
     85,          2023,            1945,              0,       3570,         1945,          17
     86,          2047,            1968,              0,       3655,         1968,           0
     87,          2061,            1981,              0,       3741,         1981,           0
     88,          2129,            2048,              0,       3828,         2048,           0
     89,          2141,            2059,              0,       3916,         2059,           0
     90,          2164,            2081,             15,       4005,         2081,           0
     91,          2253,            2169,              0,       4095,         2169,           0
     92,          2271,            2186,              0,       4186,         2186,           0
     93,          2320,            2234,              0,       4278,         2234,           0
     94,          2368,            2281,             14,       4371,         2281,           0
     95,          2409,            2321,              0,       4465,         2321,           0
     96,          2419,            2330,              0,       4560,         2330,           0
     97,          2466,            2376,              0,       4656,         2376,           0
     98,          2544,            2453,             16,       4753,         2453,           2
     99,          2579,            2487,              0,       4851,         2487,           0
    100,          2638,            2545,              0,       4950,         2545,           0
    101,          2675,            2581,              0,       5050,         2581,          11
    102,          2739,            2644,              0,       5151,         2644,           0
    103,          2760,            2664,              0,       5253,         2664,           0
    104,          2799,            2702,              0,       5356,         2702,           0
    105,          2814,            2716,             15,       5460,         2716,           0
    106,          2826,            2727,              0,       5565,         2727,           0
    107,          2842,            2742,              0,       5671,         2742,           0
    108,          2892,            2791,             15,       5778,         2791,           1
    109,          2919,            2817,              0,       5886,         2817,           0
    110,          3017,            2914,              0,       5995,         2914,           0
    111,          3077,            2973,              0,       6105,         2973,          14
    112,          3135,            3030,              0,       6216,         3030,           0
    113,          3242,            3136,              0,       6328,         3136,           0
    114,          3303,            3196,             15,       6441,         3196,           1
    115,          3337,            3229,              0,       6555,         3229,           0
    116,          3438,            3329,              0,       6670,         3329,           0
    117,          3440,            3330,             14,       6786,         3330,           0
    118,          3530,            3419,              0,       6903,         3419,           8
    119,          3545,            3433,              0,       7021,         3433,           8
    120,          3577,            3464,              0,       7140,         3464,           0
    121,          3654,            3540,              0,       7260,         3540,           0
    122,          3745,            3630,             15,       7381,         3630,           3
    123,          3849,            3733,              0,       7503,         3733,           0
