     n, heap_cmp, heap_swaps, heap_time, merge_cmp, merge_swaps, merge_time
     0,        0,          0,         0,         0,           0,          0
     1,        0,          0,         0,         0,           0,          0
     2,        1,          2,         0,         1,           0,          0
     3,        3,          4,         0,         3,           0,          0
     4,        7,          5,         0,         4,           0,          0
     5,       12,          9,         0,         8,           0,          0
     6,       17,         14,         0,        11,           0,          0
     7,       21,         15,         0,        13,           0,          0
     8,       27,         20,         0,        15,           0,          0
     9,       34,         25,         0,        17,           0,          0
    10,       40,         26,         0,        24,           0,          0
    11,       47,         30,         0,        27,           0,          0
    12,       53,         36,         0,        31,           0,          0
    13,       63,         41,         0,        36,           0,          0
    14,       70,         45,         0,        39,           0,          0
    15,       76,         50,         0,        42,           0,          0
    16,       84,         55,         0,        46,           0,          0
    17,       92,         59,         0,        49,           0,          0
    18,      102,         65,         0,        52,           0,          0
    19,      108,         68,         0,        59,           0,          0
    20,      116,         74,         0,        65,           0,          0
    21,      126,         75,         0,        67,           0,          0
    22,      134,         83,         0,        75,           0,          0
    23,      144,         90,         0,        79,           0,          0
    24,      152,         94,         0,        80,           0,          0
    25,      165,        103,         0,        85,           0,          0
    26,      174,        108,         0,        93,           0,          0
    27,      185,        116,         0,       101,           0,          0
    28,      190,        119,         0,       102,           0,          0
    29,      197,        122,         0,       109,           0,          0
    30,      209,        131,         0,       110,           0,          0
    31,      218,        137,         0,       120,           0,          0
    32,      224,        136,         0,       122,           0,          0
    33,      240,        146,         0,       126,           0,          0
    34,      248,        149,         0,       133,           0,          0
    35,      259,        155,         0,       138,           0,          0
    36,      267,        158,         0,       139,           0,          0
    37,      266,        160,         0,       146,           0,          0
    38,      278,        166,         0,       158,           0,          0
    39,      287,        172,         0,       160,           0,          0
    40,      294,        180,         0,       168,           0,          0
    41,      311,        186,         0,       174,           0,          0
    42,      319,        190,         0,       177,           0,          0
    43,      333,        203,         0,       186,           0,          0
    44,      343,        207,         0,       193,           0,          0
    45,      358,        215,         0,       197,           0,          0
    46,      368,        214,        12,       204,           0,          0
    47,      383,        225,         0,       208,           0,          0
    48,      398,        236,         0,       205,           0,          0
    49,      411,        238,         0,       212,           0,          0
    50,      420,        248,         0,       221,           0,          0
    51,      436,        256,         0,       222,           0,          0
    52,      443,        257,         0,       236,           0,          0
    53,      453,        262,         0,       242,           0,          0
    54,      463,        270,         0,       252,           0,          0
    55,      483,        283,         0,       256,           0,          0
    56,      493,        284,         0,       259,           0,          0
    57,      507,        293,         0,       265,           0,          0
    58,      517,        299,         0,       273,           0,          0
    59,      522,        304,         0,       277,           0,          0
    60,      536,        311,         0,       279,           0,          0
    61,      547,        318,         0,       286,           0,          0
    62,      560,        325,         0,       299,           0,          0
    63,      574,        332,         0,       305,           0,          0
    64,      587,        340,         0,       304,           0,          0
    65,      599,        347,         0,       307,           0,          0
    66,      606,        349,         0,       318,           0,          0
    67,      614,        356,         0,       324,           0,          0
    68,      629,        362,         0,       332,           0,          0
    69,      638,        370,         0,       339,           0,          0
    70,      651,        377,         0,       338,           0,          0
    71,      657,        377,         0,       345,           0,         15
    72,      668,        379,         0,       352,           0,          0
    73,      690,        397,         1,       357,           0,          0
    74,      701,        398,         0,       367,           0,          0
    75,      714,        407,         0,       368,           0,          0
    76,      726,        414,         0,       383,           0,          0
    77,      735,        422,         0,       390,           0,          0
    78,      743,        425,         0,       393,           0,          0
    79,      760,        435,         0,       395,           0,          0
    80,      774,        443,         0,       403,           0,          0
    81,      787,        452,         0,       411,           0,          0
    82,      805,        458,         0,       420,           0,          0
    83,      820,        472,         0,       425,           0,          0
    84,      827,        476,         0,       435,           0,          0
    85,      844,        487,         0,       441,           0,          0
    86,      848,        481,         0,       452,           0,          0
    87,      856,        492,         0,       451,           0,          0
    88,      870,        504,         0,       462,           0,          0
    89,      879,        499,         0,       467,           0,         14
    90,      884,        505,         0,       477,           0,          0
    91,      909,        524,         0,       481,           0,          0
    92,      924,        530,         0,       489,           0,          0
    93,      943,        537,         0,       502,           0,          0
    94,      949,        539,         0,       507,           0,          0
    95,      960,        548,         0,       507,           0,          0
    96,      974,        558,         0,       510,           0,          0
    97,      990,        562,         0,       517,           0,          0
    98,     1008,        582,         0,       526,           0,          0
    99,     1024,        584,         0,       531,           0,          0
   100,     1039,        589,         0,       544,           0,          0
   101,     1056,        594,         0,       552,           0,         15
   102,     1063,        607,         0,       558,           0,          0
   103,     1091,        623,         1,       555,           0,          0
   104,     1101,        629,         0,       568,           0,          0
   105,     1113,        629,         0,       574,           0,          0
   106,     1121,        643,         0,       587,           0,          0
   107,     1138,        644,         0,       587,           0,          0
   108,     1143,        653,         0,       604,           0,          0
   109,     1160,        654,         0,       613,           0,          0
   110,     1168,        665,        14,       621,           0,          0
   111,     1183,        676,         1,       626,           0,          1
   112,     1196,        681,         0,       629,           0,          0
   113,     1210,        692,         0,       634,           0,          0
   114,     1218,        692,         0,       645,           0,          0
   115,     1239,        705,         0,       646,           0,          0
   116,     1251,        711,         0,       654,           0,         13
   117,     1268,        717,         2,       658,           0,          0
   118,     1274,        720,         0,       668,           0,          4
   119,     1287,        729,         2,       668,           0,          0
   120,     1301,        736,         0,       682,           0,          0
   121,     1319,        749,         5,       684,           0,          0
   122,     1324,        744,         0,       700,           0,          0
   123,     1340,        754,         0,       698,           0,          0
   124,     1352,        758,        10,       716,           0,          1
   125,     1367,        772,         0,       718,           0,          0
   126,     1367,        770,         4,       729,           0,          0
   127,     1386,        778,         4,       736,           0,          1
   128,     1412,        794,         0,       739,           0,          0
   129,     1418,        797,         0,       747,           0,          0
   130,     1429,        800,        10,       742,           0,          1
   131,     1450,        814,         0,       758,           0,          0
   132,     1464,        816,         0,       759,           0,          0
   133,     1477,        825,         8,       766,           0,          0
   134,     1486,        835,         0,       789,           0,          0
