    n, heap_cmp, heap_swaps, heap_time, merge_cmp, merge_swaps, merge_time
    0,        0,          0,         0,         0,           0,          0
    1,        0,          0,         0,         0,           0,          0
    2,        1,          2,         0,         1,           0,          0
    3,        3,          4,         0,         2,           0,          0
    4,        6,          5,         0,         5,           0,          0
    5,       10,          8,         0,         7,           0,          0
    6,       16,         13,         0,        10,           0,          0
    7,       21,         15,         0,        12,           0,          0
    8,       25,         17,         0,        16,           0,          0
    9,       31,         21,         0,        20,           0,          0
   10,       39,         27,         0,        21,           0,          0
   11,       47,         33,         0,        26,           0,          0
   12,       53,         34,         0,        31,           0,          0
   13,       59,         39,         0,        34,           0,          0
   14,       63,         42,         0,        37,           0,          0
   15,       68,         45,         0,        43,           0,          0
   16,       80,         53,         0,        48,           0,          0
   17,       90,         59,        12,        52,           0,          0
   18,       97,         63,         0,        58,           0,          0
   19,      103,         66,         0,        62,           0,          0
   20,      111,         73,         0,        64,           0,          0
   21,      119,         75,         0,        69,           0,          0
   22,      129,         85,         0,        74,           0,          0
   23,      139,         87,         0,        75,           0,          0
   24,      148,         94,         0,        84,           0,          0
   25,      157,        100,         0,        88,           0,          0
   26,      168,        105,         0,        94,           0,          0
   27,      176,        111,         0,        97,           0,          0
   28,      185,        118,         3,       102,           0,          0
   29,      191,        120,         0,       105,           0,          0
   30,      198,        125,         0,       116,           0,          0
   31,      207,        129,         0,       116,           0,          0
   32,      218,        135,         0,       124,           0,          0
   33,      229,        134,         0,       129,           0,          0
   34,      243,        147,         0,       130,           0,          0
   35,      253,        150,         0,       136,           0,          0
   36,      258,        156,         0,       146,           0,          0
   37,      272,        165,         0,       153,           0,          0
   38,      282,        168,         0,       156,           0,          0
   39,      291,        174,         0,       158,           0,          0
   40,      302,        177,         0,       163,           0,          0
   41,      314,        183,         0,       166,           0,          0
   42,      320,        188,         0,       177,           0,          0
   43,      334,        194,         0,       179,           0,          0
   44,      348,        201,         0,       184,           0,          0
   45,      360,        207,         0,       193,           0,          0
   46,      372,        213,         0,       196,           0,          0
   47,      379,        217,         0,       195,           0,          0
   48,      386,        223,         0,       208,           0,          0
   49,      397,        226,         0,       215,           0,          0
   50,      410,        232,         0,       222,           0,          0
   51,      418,        235,         0,       227,           0,          0
   52,      431,        243,        15,       234,           0,          0
   53,      440,        247,         0,       239,           0,          0
   54,      450,        258,         0,       243,           0,          0
   55,      460,        265,         0,       245,           0,          0
   56,      473,        264,         0,       257,           0,          0
   57,      484,        274,         0,       263,           0,          0
   58,      494,        279,         0,       266,           0,          0
   59,      509,        289,         0,       271,           0,          0
   60,      525,        295,         0,       281,           0,          0
   61,      535,        296,         0,       288,           0,          0
   62,      544,        307,         0,       289,           0,          0
   63,      558,        312,         0,       298,           0,          0
   64,      574,        326,         0,       302,           0,          0
   65,      578,        327,         0,       309,           0,          0
   66,      591,        333,         0,       317,           0,          0
   67,      602,        341,        15,       322,           0,          0
   68,      616,        341,         0,       329,           0,          0
   69,      628,        352,         0,       333,           0,          0
   70,      646,        368,         0,       344,           0,          0
   71,      651,        367,         0,       347,           0,          0
   72,      666,        371,         0,       358,           0,          0
   73,      682,        387,         0,       365,           0,          0
   74,      692,        391,         0,       371,           0,          0
   75,      696,        393,         0,       377,           0,         11
   76,      709,        397,         0,       388,           0,          0
   77,      718,        400,         0,       389,           0,          0
   78,      735,        411,         0,       396,           0,          0
   79,      750,        429,         4,       395,           0,          0
   80,      761,        428,         0,       409,           0,          0
   81,      773,        433,         0,       417,           0,          0
   82,      783,        442,         0,       417,           0,          0
   83,      796,        452,         0,       417,           0,          0
   84,      808,        457,         0,       437,           0,          0
   85,      823,        464,        10,       442,           0,          0
   86,      832,        472,         0,       440,           0,          0
   87,      852,        473,         0,       449,           0,          0
   88,      869,        486,         5,       458,           0,          0
   89,      879,        491,         0,       466,           0,          0
   90,      890,        501,         0,       474,           0,          0
   91,      901,        503,         0,       482,           0,          0
   92,      919,        522,         0,       483,           0,          0
   93,      922,        518,         0,       491,           0,          0
   94,      933,        520,         0,       492,           0,          0
   95,      945,        528,         0,       499,           0,         15
   96,      971,        547,         0,       513,           0,          2
   97,      985,        552,         0,       519,           0,          0
   98,      990,        554,         0,       529,           0,          0
   99,      999,        556,         0,       531,           0,          0
  100,     1017,        572,         0,       546,           0,          0
  101,     1032,        577,         0,       551,           0,          0
  102,     1053,        593,         0,       549,           0,          0
  103,     1059,        596,         0,       561,           0,          0
  104,     1071,        602,         0,       573,           0,          2
  105,     1086,        611,         0,       578,           0,          0
  106,     1097,        623,         0,       583,           0,          0
  107,     1101,        617,         0,       594,           0,          0
  108,     1127,        629,         0,       596,           0,          0
  109,     1124,        633,         0,       601,           0,          0
  110,     1128,        635,         0,       608,           0,          0
  111,     1149,        645,         0,       614,           0,          0
  112,     1157,        652,         0,       630,           0,          0
  113,     1186,        666,        14,       637,           0,          0
  114,     1197,        676,         0,       640,           0,          0
  115,     1212,        687,         0,       651,           0,          0
  116,     1225,        691,         0,       646,           0,          0
  117,     1241,        703,         0,       653,           0,          0
  118,     1248,        702,         0,       660,           0,          0
  119,     1255,        707,         0,       663,           0,          0
  120,     1264,        714,         0,       681,           0,          0
  121,     1283,        719,         0,       687,           0,          0
  122,     1299,        731,         0,       692,           0,         15
  123,     1306,        738,         0,       702,           0,          0
  124,     1324,        748,         0,       706,           0,          0
  125,     1339,        754,         0,       710,           0,          0
  126,     1351,        758,         0,       721,           0,          0
  127,     1370,        764,         0,       728,           0,          0
  128,     1377,        770,         0,       735,           0,          0
  129,     1402,        792,         0,       742,           0,          0
  130,     1416,        789,         0,       745,           0,          0
  131,     1429,        803,         0,       754,           0,          0
  132,     1436,        805,        15,       768,           0,          0
  133,     1449,        809,         0,       774,           0,          0
  134,     1462,        810,         0,       777,           0,          0
