   n, heap_cmp, heap_swaps, heap_time, merge_cmp, merge_swaps, merge_time
   0,        0,          0,         0,         0,           0,          0
   1,        0,          0,         0,         0,           0,          0
   2,        1,          2,         0,         1,           0,          0
   3,        3,          3,         0,         2,           0,          0
   4,        7,          7,         0,         5,           0,          0
   5,       12,         10,         0,         8,           0,          0
   6,       16,         12,         0,        10,           0,          0
   7,       19,         14,         0,        13,           0,          0
   8,       27,         19,         0,        16,           0,          0
   9,       35,         24,         0,        19,           0,          6
  10,       41,         29,         0,        25,           0,          0
  11,       48,         32,         0,        27,           0,          0
  12,       57,         38,         0,        28,           0,          0
  13,       65,         42,         0,        32,           0,          0
  14,       69,         45,         0,        38,           0,          0
  15,       73,         49,         0,        42,           0,          0
  16,       82,         53,         0,        46,           0,          0
  17,       87,         56,         0,        51,           0,          0
  18,       97,         62,         0,        53,           0,          0
  19,      105,         66,         0,        59,           0,          0
  20,      109,         69,         0,        66,           0,          0
  21,      119,         78,         3,        72,           0,          0
  22,      127,         84,         0,        75,           0,          0
  23,      137,         86,         0,        76,           0,          0
  24,      151,         95,         0,        80,           0,          0
  25,      162,        100,         0,        84,           0,          0
  26,      170,        102,         0,        92,           0,          0
  27,      177,        105,         3,        95,           0,          0
  28,      188,        114,         0,       104,           0,          0
  29,      199,        118,         0,       108,           0,          0
  30,      205,        121,         0,       113,           0,          0
  31,      214,        123,         0,       117,           0,          0
  32,      225,        131,         0,       120,           0,          0
  33,      232,        138,         0,       126,           0,          0
  34,      240,        141,         5,       133,           0,          0
  35,      251,        143,         0,       136,           0,          0
  36,      260,        152,         0,       145,           0,          0
  37,      269,        160,         0,       147,           0,          0
  38,      283,        160,         0,       152,           0,          0
  39,      295,        173,         0,       160,           0,          0
  40,      300,        177,         0,       169,           0,          0
  41,      306,        181,         0,       175,           0,          0
  42,      320,        190,         0,       178,           0,          0
  43,      335,        199,         0,       183,           0,          0
  44,      335,        195,         0,       193,           0,          0
  45,      349,        200,         0,       199,           0,          0
  46,      360,        209,        10,       197,           0,          0
  47,      376,        216,         0,       200,           0,          0
  48,      391,        225,         0,       206,           0,          0
  49,      404,        234,         0,       212,           0,          0
  50,      413,        242,         0,       219,           0,          0
  51,      429,        246,         0,       229,           0,          0
  52,      437,        256,         8,       232,           0,          0
  53,      452,        265,         0,       236,           0,          0
  54,      471,        275,         0,       244,           0,          0
  55,      475,        277,         0,       248,           0,          0
  56,      484,        283,         0,       263,           0,          0
  57,      487,        280,         0,       267,           0,          8
  58,      508,        293,         0,       267,           0,          0
  59,      518,        299,         2,       280,           0,          0
  60,      526,        305,         0,       287,           0,          0
  61,      537,        313,         0,       289,           0,          0
  62,      542,        310,         0,       297,           0,          5
  63,      542,        309,         0,       303,           0,          0
  64,      558,        320,         0,       309,           0,          0
  65,      574,        327,         0,       316,           0,          0
  66,      590,        336,         0,       318,           0,          0
  67,      606,        349,         8,       325,           0,          0
  68,      617,        353,         2,       335,           0,          0
  69,      629,        357,         0,       339,           0,          0
  70,      637,        363,         0,       343,           0,          0
  71,      652,        372,         0,       350,           0,          0
  72,      665,        375,         0,       361,           0,          0
  73,      682,        388,         0,       368,           0,          0
  74,      693,        396,         0,       370,           0,          0
  75,      706,        408,        13,       373,           0,          0
  76,      716,        409,         1,       382,           0,          0
  77,      728,        417,         0,       390,           0,          0
  78,      749,        430,         0,       397,           0,          0
  79,      755,        429,         0,       402,           0,          0
  80,      758,        429,         0,       413,           0,          0
  81,      778,        443,         0,       418,           0,          0
  82,      786,        450,         0,       423,           0,         14
  83,      810,        457,         1,       431,           0,          0
  84,      826,        465,         2,       436,           0,          0
  85,      835,        473,         0,       439,           0,          0
  86,      846,        481,         0,       452,           0,          0
  87,      862,        490,         0,       464,           0,          0
  88,      864,        491,         0,       473,           0,          0
  89,      870,        490,        12,       477,           0,          0
  90,      899,        513,         0,       484,           0,          0
  91,      901,        504,         0,       492,           0,          0
  92,      918,        520,         0,       487,           0,          0
  93,      928,        524,         0,       492,           0,          0
  94,      941,        533,         0,       497,           0,          0
  95,      955,        538,        15,       504,           0,          1
  96,      967,        553,         0,       509,           0,          0
  97,      990,        562,         0,       516,           0,          0
  98,     1003,        567,         0,       524,           0,          0
  99,     1022,        579,         0,       535,           0,          0
 100,     1035,        589,         0,       544,           0,          0
 101,     1049,        590,        15,       550,           0,          0
 102,     1057,        599,         0,       559,           0,          0
 103,     1075,        604,         0,       564,           0,          0
 104,     1084,        615,         0,       574,           0,          0
 105,     1092,        621,         0,       582,           0,          0
 106,     1107,        626,        15,       581,           0,          0
 107,     1121,        634,         0,       585,           0,          0
 108,     1133,        646,         0,       597,           0,          0
 109,     1144,        646,         0,       602,           0,          0
 110,     1164,        659,         0,       606,           0,          0
 111,     1171,        652,        15,       608,           0,          0
 112,     1192,        678,         0,       629,           0,          0
 113,     1192,        671,         0,       637,           0,          0
 114,     1215,        691,         0,       640,           0,          0
 115,     1227,        690,         0,       656,           0,          0
 116,     1254,        708,         0,       657,           0,          0
 117,     1256,        702,        15,       664,           0,          0
 118,     1277,        722,         0,       671,           0,          0
 119,     1281,        725,         0,       684,           0,          0
 120,     1311,        733,         7,       686,           0,          0
 121,     1316,        738,         0,       693,           0,          0
 122,     1329,        744,         0,       697,           0,          0
 123,     1342,        750,         0,       708,           0,          0
 124,     1346,        754,         0,       713,           0,          0
 125,     1362,        767,         9,       720,           0,          0
 126,     1367,        768,         0,       729,           0,          0
 127,     1392,        780,         0,       734,           0,          0
 128,     1404,        789,         0,       742,           0,          0
 129,     1401,        778,         0,       750,           0,          0
 130,     1424,        794,         0,       752,           0,          0
 131,     1428,        796,         0,       759,           0,          0
 132,     1440,        799,         0,       764,           0,          0
 133,     1463,        809,         0,       774,           0,          0
 134,     1465,        813,         0,       778,           0,          0
