   n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
   0,             0,               0,              0,          0,            0,           0
   1,             0,               0,              0,          0,            0,           0
   2,             1,               0,              0,          1,            0,           0
   3,             3,               1,              0,          3,            1,           0
   4,             4,               1,              0,          6,            1,           0
   5,             8,               4,              0,         10,            4,           0
   6,            11,               6,              0,         15,            6,           0
   7,            16,              10,              0,         21,           10,           0
   8,            20,              13,              0,         28,           13,           0
   9,            26,              18,              0,         36,           18,           0
  10,            28,              19,              0,         45,           19,           0
  11,            30,              20,              0,         55,           20,           0
  12,            33,              22,              0,         66,           22,           0
  13,            34,              22,              0,         78,           22,           0
  14,            42,              29,              0,         91,           29,           0
  15,            51,              37,              0,        105,           37,           0
  16,            62,              47,              0,        120,           47,           0
  17,            78,              62,              0,        136,           62,           0
  18,            91,              74,              0,        153,           74,           0
  19,            96,              78,              0,        171,           78,           0
  20,           110,              91,              0,        190,           91,           0
  21,           128,             108,              0,        210,          108,           0
  22,           131,             110,              0,        231,          110,           0
  23,           132,             110,              0,        253,          110,           0
  24,           154,             131,              0,        276,          131,           0
  25,           176,             152,              0,        300,          152,           0
  26,           189,             164,              0,        325,          164,           0
  27,           213,             187,              0,        351,          187,           0
  28,           235,             208,              0,        378,          208,           0
  29,           250,             222,              0,        406,          222,           0
  30,           266,             237,              0,        435,          237,           0
  31,           275,             245,              0,        465,          245,           0
  32,           286,             255,              0,        496,          255,           0
  33,           312,             280,              0,        528,          280,           0
  34,           342,             309,              0,        561,          309,           0
  35,           373,             339,              0,        595,          339,           0
  36,           385,             350,              0,        630,          350,           0
  37,           414,             378,             15,        666,          378,           0
  38,           437,             400,              0,        703,          400,           0
  39,           457,             419,              0,        741,          419,           0
  40,           482,             443,              0,        780,          443,           0
  41,           513,             473,              0,        820,          473,           0
  42,           535,             494,              0,        861,          494,           0
  43,           573,             531,              0,        903,          531,           0
  44,           580,             537,              0,        946,          537,           0
  45,           618,             574,             15,        990,          574,           0
  46,           622,             577,              0,       1035,          577,           0
  47,           656,             610,              0,       1081,          610,           0
  48,           692,             645,              0,       1128,          645,           0
  49,           720,             672,              0,       1176,          672,           0
  50,           735,             686,             15,       1225,          686,           0
  51,           776,             726,              0,       1275,          726,           0
  52,           789,             738,              0,       1326,          738,           0
  53,           791,             739,              0,       1378,          739,           0
  54,           832,             779,              0,       1431,          779,          15
  55,           863,             809,              2,       1485,          809,           0
  56,           882,             827,              4,       1540,          827,           0
  57,           896,             840,              0,       1596,          840,           0
  58,           906,             849,              0,       1653,          849,          10
  59,           947,             889,              0,       1711,          889,           0
  60,           960,             901,              0,       1770,          901,           0
  61,          1020,             961,              0,       1830,          961,           0
  62,          1042,             982,             16,       1891,          982,           0
  63,          1058,             997,              0,       1953,          997,           0
  64,          1060,             998,              0,       2016,          998,           0
  65,          1094,            1031,             14,       2080,         1031,           0
  66,          1104,            1040,              0,       2145,         1040,           0
  67,          1130,            1065,              0,       2211,         1065,           0
  68,          1183,            1117,             15,       2278,         1117,           0
  69,          1184,            1117,              0,       2346,         1117,           0
  70,          1225,            1157,              0,       2415,         1157,          15
  71,          1255,            1186,              0,       2485,         1186,           0
  72,          1305,            1235,              0,       2556,         1235,           0
  73,          1375,            1304,             15,       2628,         1304,           0
  74,          1406,            1334,              0,       2701,         1334,          12
  75,          1471,            1398,              4,       2775,         1398,           0
  76,          1539,            1465,              0,       2850,         1465,           0
  77,          1570,            1495,             15,       2926,         1495,           0
  78,          1608,            1532,              0,       3003,         1532,           0
  79,          1650,            1573,             15,       3081,         1573,           0
  80,          1707,            1629,              0,       3160,         1629,           0
  81,          1762,            1683,             15,       3240,         1683,           0
  82,          1808,            1728,              0,       3321,         1728,          15
  83,          1852,            1771,              0,       3403,         1771,           0
  84,          1929,            1847,              0,       3486,         1847,          15
  85,          1976,            1893,              0,       3570,         1893,           0
  86,          1985,            1901,             15,       3655,         1901,           2
  87,          2065,            1980,              0,       3741,         1980,          13
  88,          2115,            2029,              0,       3828,         2029,           0
  89,          2169,            2082,              0,       3916,         2082,           0
  90,          2223,            2135,             15,       4005,         2135,           0
  91,          2267,            2178,              0,       4095,         2178,           0
  92,          2326,            2236,              0,       4186,         2236,          15
  93,          2333,            2242,              0,       4278,         2242,           0
  94,          2426,            2335,              0,       4371,         2335,           0
  95,          2504,            2412,              0,       4465,         2412,          15
  96,          2518,            2425,              0,       4560,         2425,           0
  97,          2576,            2482,              0,       4656,         2482,           0
  98,          2578,            2483,              0,       4753,         2483,          15
  99,          2633,            2537,              0,       4851,         2537,           0
 100,          2660,            2563,              0,       4950,         2563,           0
 101,          2740,            2642,              0,       5050,         2642,          15
 102,          2808,            2709,              0,       5151,         2709,           0
 103,          2812,            2712,              8,       5253,         2712,           0
 104,          2915,            2815,              7,       5356,         2815,           0
 105,          2928,            2827,              0,       5460,         2827,           0
 106,          3010,            2908,              0,       5565,         2908,          15
 107,          3015,            2912,              0,       5671,         2912,           0
 108,          3020,            2916,              0,       5778,         2916,           0
 109,          3115,            3010,             15,       5886,         3010,           0
 110,          3127,            3021,              0,       5995,         3021,           0
 111,          3217,            3110,              0,       6105,         3110,          16
 112,          3246,            3138,              0,       6216,         3138,           0
 113,          3348,            3239,              0,       6328,         3239,          14
 114,          3409,            3299,              0,       6441,         3299,           0
 115,          3513,            3402,              0,       6555,         3402,          15
 116,          3566,            3454,              0,       6670,         3454,           0
 117,          3671,            3558,              0,       6786,         3558,          16
 118,          3686,            3572,              0,       6903,         3572,           0
 119,          3738,            3623,              0,       7021,         3623,          15
 120,          3833,            3717,              0,       7140,         3717,           0
 121,          3883,            3766,              0,       7260,         3766,          15
 122,          3908,            3790,              0,       7381,         3790,           0
 123,          3915,            3796,              0,       7503,         3796,          15
